title,number,page_id,namespace,size_bytes,last_change,item,total_views
List of constituencies in Uganda,251,78361912,(Article),15402,2025-04-28T12:26:32Z,Q131354001,285
List of diplomatic missions in Uganda,70,22212108,(Article),22121,2025-07-28T05:36:35Z,Q6616591,6182
List of government ministries of Uganda,131,44567223,(Article),14559,2025-01-02T12:58:28Z,Q21067659,21087
List of governors of Uganda,13,2083898,(Article),4881,2024-08-28T16:01:59Z,Q6572218,6051
List of heads of state of Uganda,120,43246965,(Article),16401,2025-07-21T19:28:40Z,Q878204,80785
List of members of the eighth Parliament of Uganda,183,54501630,(Article),44053,2025-02-04T04:01:48Z,Q48773608,1762
List of members of the ninth Parliament of Uganda,144,49859622,(Article),56922,2025-04-12T11:55:35Z,Q23541048,1520
List of members of the tenth Parliament of Uganda,145,49871667,(Article),72138,2025-03-24T06:53:53Z,Q23541050,3797
List of ministers of internal affairs of Uganda,217,60444066,(Article),9910,2024-06-19T20:28:30Z,Q64759950,1212
List of ministers of justice and constitutional affairs of Uganda,218,60478454,(Article),9035,2025-07-25T19:22:51Z,Q64759951,1507
List of speakers of the Parliament of Uganda,77,22873274,(Article),5018,2024-09-06T00:07:04Z,Q11812644,10256
Lists of political office-holders in Uganda,108,37429816,Category,267,2012-10-24T13:14:07Z,Q7001053,NA
Local Council (Uganda),19,2484501,(Article),6508,2023-09-26T10:42:30Z,Q6663985,21956
Local government in Uganda,107,37183619,Category,81,2013-06-16T14:17:51Z,Q8600673,NA
Mailo,127,43899637,(Article),3663,2025-06-12T22:45:18Z,Q106900377,2352
Masaba people,15,2344280,(Article),5767,2024-04-26T08:05:00Z,Q6782274,5489
Mayors of places in Uganda,94,28640236,Category,85,2012-10-24T13:18:50Z,Q8614215,NA
Members of the Pan-African Parliament from Uganda,14,2132422,Category,107,2012-10-24T13:16:25Z,Q13271122,NA
Members of the Parliament of Uganda,80,24278129,Category,269,2021-04-17T02:20:42Z,Q8620183,NA
Military history of Uganda,41,14257712,Category,204,2024-02-15T07:58:45Z,Q8630006,3406
Military of Uganda,21,2978802,Category,192,2017-05-20T04:52:26Z,Q6956075,659
