title,number,page_id,namespace,size_bytes,last_change,item,total_views
Lake islands of Uganda,541,41534856,Category,117,2014-01-03T04:38:35Z,Q6263573,NA
Lake Kamunzuku,955,77237902,(Article),3456,2024-08-06T14:18:55Z,Q126915619,94
Lake Mburo–Nakivali Wetland System,911,74015247,(Article),4318,2025-05-26T02:09:46Z,Q119998933,185
Lake Nyabikere,949,77131518,(Article),2686,2024-10-23T20:22:36Z,Q126490630,174
Lake Rwizongo,952,77175575,(Article),2333,2025-07-23T17:14:47Z,Q126721549,172
Lake Saka,954,77196752,(Article),2557,2024-11-24T12:29:56Z,Q126810954,125
Lakes of Uganda,27,1644309,Category,284,2016-12-24T22:34:43Z,Q7289892,5
Lamia River,96,7499758,(Article),1329,2025-02-16T20:43:50Z,Q4790353,260
Lamwo,420,30181271,(Article),2925,2024-03-27T06:20:47Z,Q6482752,364
Lamwo District,419,30180909,Category,83,2011-02-05T20:30:01Z,Q8581180,2528
Landforms of Uganda,115,11902400,Category,165,2018-04-02T12:22:50Z,Q6967000,NA
Landmarks in Uganda,686,55070377,Category,182,2020-05-01T03:13:13Z,Q49779324,NA
Lango sub-region,797,63755646,Category,34,2020-04-24T11:04:09Z,Q105162512,3995
Lango sub-region,77,5244209,(Article),1721,2022-04-10T17:46:51Z,Q3491230,3995
Letshego Microfinance Uganda,635,51275278,(Article),8625,2024-10-28T10:13:27Z,Q28402183,2777
Lira District,192,22729826,Category,208,2020-12-26T11:26:38Z,Q9862470,3268
"Lira, Uganda",29,1790458,(Article),17058,2025-07-03T09:39:43Z,Q1015699,9697
List of central forest reserves of Uganda,520,39214946,(Article),15802,2024-07-16T08:58:00Z,Q17076187,2803
List of constituencies in Uganda,963,78361912,(Article),15402,2025-04-28T12:26:32Z,Q131354001,285
List of ecoregions in Uganda,133,15580162,(Article),1485,2025-05-24T11:59:14Z,Q6617828,445
List of lakes of Uganda,147,18980411,(Article),1186,2025-04-06T22:05:43Z,Q13124650,2309
List of Local Forest Reserves of Uganda,899,73963117,(Article),4203,2023-08-23T20:41:46Z,Q119440668,433
List of mountains in Uganda,576,46894465,(Article),1023,2024-08-25T06:50:31Z,Q20717896,2234
"List of national cultural sites in Central Region, Uganda",684,55070366,(Article),59836,2025-04-12T06:30:05Z,Q40888373,1158
"List of National Cultural Sites in Eastern Region, Uganda",688,55070417,(Article),30748,2024-09-26T16:42:17Z,Q40888380,473
"List of National Cultural Sites in Northern Region, Uganda",689,55070418,(Article),28902,2024-11-09T21:21:22Z,Q40888385,604
"List of National Cultural Sites in Western Region, Uganda",687,55070416,(Article),41207,2024-09-26T16:40:17Z,Q40888377,506
List of protected areas of Uganda,497,36277156,(Article),4792,2024-04-23T12:39:24Z,Q363726,1309
List of Refugee settlements in Uganda,932,75284146,(Article),11203,2025-01-10T22:54:24Z,Q123532568,9364
List of rivers of Uganda,140,16074995,(Article),1890,2024-09-11T19:06:53Z,Q3243950,3630
List of volcanoes in Uganda,92,7120278,(Article),1745,2025-07-16T23:11:21Z,Q6644879,1708
List of Wildlife Reserves of Uganda,900,73963993,(Article),2397,2023-08-23T20:56:59Z,Q119443415,500
List of World Heritage Sites in Uganda,626,51108927,(Article),17623,2025-06-01T00:26:17Z,Q6357128,2496
Lists of Cultural Heritage Monuments in Uganda,685,55070372,Category,236,2021-01-22T17:07:03Z,Q49779323,NA
Lists of landforms of Uganda,509,37428667,Category,243,2012-10-24T10:09:57Z,Q8597672,NA
Lodonga,751,59943028,(Article),7926,2025-07-10T08:10:19Z,Q65121447,245
Lokiriama Peace Accord,489,34968096,(Article),3116,2024-09-24T08:34:56Z,Q6668682,328
"Lokitanyala, Uganda",598,49158492,(Article),6422,2020-08-10T00:46:24Z,Q24054196,155
Lolelia sub-county,501,36302304,(Article),2719,2022-04-22T09:53:05Z,Q6668886,53
Lorengecora,716,57660675,(Article),6916,2020-08-28T19:09:45Z,Q31943584,145
Losilang,475,32540854,(Article),1894,2020-03-18T08:29:30Z,Q17095917,78
Loyoro sub-county,504,36302850,(Article),2706,2022-04-21T08:55:27Z,Q6694626,93
"Loyoro, Uganda",476,32543385,(Article),4787,2020-08-12T21:13:43Z,Q6694624,74
Lubaga,246,23389441,(Article),8396,2025-03-25T07:53:16Z,Q6695057,2133
Lubaga Division,374,26329774,Category,87,2020-03-19T17:35:53Z,Q8606290,642
Lubigi,544,42042940,(Article),7351,2025-04-28T18:04:44Z,Q16894374,2258
Lubowa,94,7384473,(Article),5603,2025-01-03T13:56:38Z,Q6695601,1895
Luggo Cultural Forest,931,74947961,(Article),4058,2024-07-12T07:08:52Z,Q123050469,135
Lugogo River,128,15351320,(Article),1451,2025-07-02T11:45:23Z,Q4790358,238
"Lugogo, Kampala",642,51841616,(Article),7106,2025-03-08T02:02:28Z,Q28223321,2133
Lugonjo,731,58586457,(Article),8336,2025-05-03T13:03:18Z,Q60745666,316
"Lukaya, Uganda",266,24057168,(Article),6920,2025-07-08T18:01:34Z,Q6701734,2421
"Lumino, Uganda",595,48886818,(Article),4162,2020-03-19T23:34:13Z,Q22082387,289
Lungujja,351,25844673,(Article),10070,2024-01-22T12:16:20Z,Q6704348,1539
Lutoboka Central Forest Reserve,904,73975602,(Article),7488,2024-07-14T08:53:18Z,Q118976615,173
Luuka District,421,30201772,Category,82,2011-02-05T20:30:05Z,Q11721762,3119
Luuka Town,422,30202338,(Article),4512,2022-06-13T21:35:55Z,Q6692420,579
Luweero,97,7584471,(Article),10680,2025-07-03T17:06:45Z,Q2318123,2551
Luweero District,523,39723858,Category,99,2024-11-08T21:09:01Z,Q8607067,5492
Luwero Triangle,47,2414685,(Article),1741,2025-01-21T17:04:53Z,Q6706136,5580
Luzira,300,25182183,Category,28,2014-03-25T08:35:10Z,Q13269728,2913
Luzira,42,2405593,(Article),10572,2024-08-06T09:31:20Z,Q6706611,2913
Lwamata,624,50930921,(Article),7877,2021-08-09T21:50:55Z,Q24892187,397
Lweeza,382,27262345,(Article),8589,2020-08-10T00:33:48Z,Q15243170,961
Lwemiyaga,632,51212844,(Article),8539,2020-08-10T00:33:48Z,Q28162709,357
Lwengo,408,30066154,(Article),6916,2024-05-03T16:13:41Z,Q6687528,512
Lwengo District,407,30065739,Category,32,2010-12-17T20:13:36Z,Q13269733,1881
Lwensinga,726,58058015,(Article),9372,2020-08-10T00:33:48Z,Q56276041,73
Lyantonde,255,23575061,(Article),7659,2025-05-13T07:13:10Z,Q6687695,1190
Lyantonde District,364,26060562,Category,100,2013-03-29T04:35:03Z,Q8607428,1812
Maaji refugee settlements,824,65467468,(Article),10059,2023-09-26T22:41:14Z,Q104860506,901
Maddu,586,47356283,(Article),4553,2022-02-10T06:21:46Z,Q20746278,450
Madi-Okollo,63,3772620,(Article),3770,2025-07-07T01:15:43Z,Q6727658,1961
Mafuga Central Forest Reserve,871,73829480,(Article),5866,2024-02-13T15:29:28Z,Q118611385,234
Mahale Mountains National Park,76,4968676,(Article),3708,2025-06-01T17:13:32Z,Q1478367,4842
Mahathi Fuel Transport and Storage Depot,816,65349602,(Article),9605,2023-08-26T10:25:04Z,Q104857551,625
Majanji,594,48885817,(Article),8418,2024-07-10T20:08:36Z,Q22082389,434
Makenke,566,45655800,(Article),5761,2024-10-10T02:57:14Z,Q25051746,594
Makerere Kikoni,556,44505287,(Article),4176,2022-07-10T16:56:42Z,Q20746282,909
Makerere University Business School,239,23157309,(Article),10509,2025-03-03T05:29:55Z,Q6739286,4204
Makerere University Hospital,617,50699212,(Article),5033,2024-08-06T03:40:59Z,Q25227169,677
Makerere University School of Biomedical Sciences,277,24518897,(Article),4551,2025-01-15T09:59:09Z,Q6739287,511
Makindye,107,10137977,(Article),4879,2024-11-21T21:14:24Z,Q6739550,3783
Makindye Division,375,26330046,Category,87,2020-03-19T17:35:55Z,Q8597303,4106
Makindye Division,245,23355203,(Article),3327,2024-07-15T10:56:06Z,Q6739552,4106
"Malaba, Uganda",236,22837079,(Article),11735,2025-03-08T02:03:46Z,Q15045852,3476
Manafwa,238,23122305,(Article),5876,2024-09-18T15:00:11Z,Q6272973,404
Manafwa District,314,25370653,Category,99,2024-11-08T21:18:43Z,Q8604539,1822
Management and conservation of wetlands in Uganda,928,74152472,(Article),6783,2025-06-22T02:09:16Z,Q120629782,545
Maracha District,317,25370767,(Article),6442,2025-06-03T23:05:47Z,Q588927,1790
Maracha District,577,47126290,Category,118,2018-12-31T22:15:11Z,Q8607758,1790
Maracha Town,619,50799265,(Article),3971,2022-02-16T20:37:00Z,Q24884392,594
Maramagambo Forest,512,37699306,(Article),4303,2025-04-21T16:02:43Z,Q6754736,1083
Marsabit National Park,126,15105651,(Article),4728,2025-02-15T12:29:12Z,Q1516724,1983
Masafu,615,50669078,(Article),3921,2022-02-10T06:22:46Z,Q25227163,859
Masaka,828,65569797,Category,248,2020-10-13T21:53:12Z,Q100329311,14694
Masaka District,201,22784191,Category,98,2024-11-08T21:08:34Z,Q8610737,4559
Masaka Regional Referral Hospital,326,25614744,(Article),4922,2024-11-08T14:46:48Z,Q6782422,1196
Masaka Sports Stadium,962,78253100,(Article),5419,2025-04-17T05:23:34Z,Q131191681,75
Masindi,44,2407309,(Article),14034,2025-07-03T17:01:04Z,Q1907120,5406
Masindi District,308,25343294,Category,99,2024-11-08T21:47:37Z,Q8610796,2849
Masindi Port,354,25865210,(Article),5790,2023-06-08T15:11:30Z,Q6783287,1271
Mass media in Kampala,517,38894295,Category,70,2020-05-07T11:52:13Z,Q8615783,NA
Masulita,582,47267465,(Article),9056,2021-04-14T06:52:21Z,Q22082390,1111
Mateete,631,51206108,(Article),4150,2023-09-12T05:24:30Z,Q28162708,415
Matheniko Wildlife Reserve,495,36273552,(Article),2560,2024-10-23T17:14:16Z,Q6786914,435
Matiri Central Forest Reserve,876,73857844,(Article),6996,2024-06-15T12:34:34Z,Q118462201,429
Matthews Range,13,974497,(Article),3846,2024-06-06T00:18:37Z,Q13647574,1681
Matugga,267,24057898,(Article),8526,2023-11-28T18:32:32Z,Q6791956,4256
Mau Forest,146,18816260,(Article),6849,2025-07-02T16:52:23Z,Q1792713,6684
"Maya, Uganda",707,56416934,(Article),7527,2020-08-10T00:33:48Z,Q48815991,1363
Mayuge District,222,22796778,Category,98,2024-11-08T21:19:06Z,Q8614326,3433
Mbalala,629,51172849,(Article),7757,2020-08-10T00:33:49Z,Q28162706,705
Mbale,150,20509382,Category,221,2024-11-08T21:20:05Z,Q8614408,15134
