title,number,page_id,namespace,size_bytes,last_change,item,total_views
Nyamwamba I Hydroelectric Power Station,56,40354247,(Article),10193,2022-10-15T10:50:44Z,Q15263089,344
Our Lady Queen of Poland Catholic Church,88,55157455,(Article),2215,2025-05-13T18:55:37Z,Q38789592,318
Outdoor structures in Uganda,122,72778147,Category,140,2023-01-17T23:40:47Z,Q116569562,NA
Pension Towers,42,36258133,(Article),10608,2025-07-29T23:19:55Z,Q7164761,1819
"Pope John Paul II College, Gulu",65,47185735,(Article),864,2025-01-19T17:33:49Z,Q38250495,805
Railway stations in Uganda,11,17731014,(Article),7105,2025-03-17T19:26:13Z,Q7284308,1659
Religious buildings and structures in Uganda,21,24526651,Category,247,2025-02-12T18:55:47Z,Q9505956,NA
Residential buildings in Uganda,81,53174434,Category,190,2020-02-01T20:31:37Z,Q29627468,NA
Ruhijha mine,55,39986337,(Article),1106,2024-04-14T16:26:54Z,Q16975974,338
Rukungiri Water Supply and Sanitation Project,119,70949242,(Article),7445,2025-03-30T04:26:10Z,Q112648868,119
"Saints Andrew and Philip Cathedral, Mukono",107,63274225,(Article),663,2025-05-13T23:15:59Z,Q96404816,215
Savannah Airstrip,58,42897590,(Article),3540,2024-02-17T03:10:00Z,Q17108392,773
Schools in Uganda,4,2074747,Category,276,2020-02-02T16:49:45Z,Q7483513,NA
Serere Township Secondary School,52,39192185,(Article),5780,2022-08-21T08:50:58Z,Q17018406,200
Speke Resort and Conference Center,60,43247111,(Article),5580,2025-03-08T02:34:07Z,Q18392353,1194
"St Andrew's Cathedral, Namukozi",105,63256484,(Article),629,2025-05-13T23:15:28Z,Q96406374,104
"St Mark's Cathedral, Luweero",104,63256366,(Article),849,2025-05-13T23:15:17Z,Q96406388,313
"St Paul's Cathedral, Kako",106,63271611,(Article),1166,2025-05-13T23:15:49Z,Q96406394,198
"St Paul's Secondary School, Lweza",67,48311525,(Article),1389,2021-05-24T15:35:23Z,Q25054348,312
St. John Fisher Ibanda Secondary School,73,50170107,(Article),2634,2025-07-12T09:13:35Z,Q25112894,598
"St. Joseph's Cathedral, Gulu",36,29698925,(Article),3967,2025-05-13T22:06:41Z,Q7589068,575
St. Kaggwa Bushenyi High School,77,51188906,(Article),595,2021-05-04T15:23:44Z,Q27962197,218
"St. Mary's Seminary, Nadiket",9,14078237,(Article),2266,2025-05-13T18:55:49Z,Q6957748,52
Studios in Uganda,120,71376590,Category,102,2022-07-24T12:27:18Z,Q113469537,NA
Sukulu mine,53,39986158,(Article),1274,2025-03-29T05:16:45Z,Q16977629,377
Taibah College School,12,18728918,(Article),2135,2025-07-21T14:48:36Z,Q7675881,883
Team University,100,61297276,(Article),6098,2024-08-09T04:36:14Z,Q85805400,2316
The Uganda Buddhist Centre,35,27604705,(Article),4449,2025-07-11T15:04:03Z,Q7771039,1237
Towers in Uganda,108,63405926,Category,189,2022-12-13T13:58:59Z,Q105419692,NA
Transport buildings and structures in Uganda,79,53089147,Category,255,2017-04-24T03:08:00Z,Q29613266,NA
Uganda Advanced Certificate of Education,8,11492081,(Article),879,2024-10-20T20:08:40Z,Q7877577,8720
Uganda Certificate of Education,18,22947493,(Article),794,2024-03-22T09:15:33Z,Q7877585,5322
Uganda-airport-stub,10,16775737,Template,361,2010-11-23T12:25:44Z,Q8084511,NA
Uganda-church-stub,49,38428924,Template,329,2013-02-05T13:00:01Z,Q25152496,NA
Uganda-mosque-stub,48,38387742,Template,424,2022-07-26T03:04:09Z,Q25152463,NA
Uganda-museum-stub,47,38387398,Template,297,2013-01-31T23:10:05Z,Q25152448,NA
Uganda-road-stub,44,36694342,Template,303,2013-01-30T19:38:53Z,Q25151594,NA
Uganda-school-stub,22,24660391,Template,344,2010-06-03T03:42:44Z,Q25146588,NA
Uganda-sports-venue-stub,16,21613669,Template,381,2011-06-20T15:47:17Z,Q25145107,NA
Uganda-struct-stub,17,22811984,Template,245,2013-01-30T18:49:35Z,Q25145665,NA
Uganda-university-stub,29,25794681,Template,495,2022-12-18T18:21:56Z,Q25147061,NA
Ugandan building and structure stubs,30,25794691,Category,265,2020-02-29T05:50:55Z,Q8854578,NA
University of East Africa,1,1101242,(Article),4137,2025-07-18T21:52:36Z,Q557172,3524
"White House, Uganda",131,76629556,(Article),6064,2025-06-16T10:34:27Z,Q131302949,420
