qitem,label,en_title,sitelink_count,views,priority,type_labels,num_strategies,strategies
Q7877661,Uganda national cricket team,Uganda national cricket team,15,7154,98.6,national cricket team,2,country_wd|keyword_title
Q3261029,Nkole people,Nkole people,14,9110,98.6,ethnic group,1,country_wd
Q1792727,Kunyaza,Kunyaza,11,80447,98.6,human sexual behavior,1,country_wd
Q3345980,Ntare Mwine,Ntare Guma Mbaho Mwine,11,50754,98.6,human,1,citizenship_wd
Q1907120,Masindi,Masindi,21,2313,98.5,human settlement,2,country_wd|keyword_title
Q56507,Alur,Alur language,18,2938,98.5,"language, modern language",1,country_wd
Q470632,Savio Nsereko,Savio Nsereko,17,3507,98.5,human,1,birth_death_wd
Q5329451,East Sudanian Savanna,East Sudanian savanna,17,3386,98.5,WWF ecoregion,1,country_wd
Q3488894,Soga,Soga people,16,3997,98.5,"ethnic group, people",1,country_wd
Q4711890,Albertine Rift montane forests,Albertine Rift montane forests,15,4708,98.5,WWF ecoregion,1,country_wd
Q7973731,Water scarcity in Africa,Water scarcity in Africa,14,6684,98.5,human settlement,1,country_wd
Q1908107,matatu,Matatu,13,9733,98.5,bus-based transport system,1,country_wd
Q975894,Lugbara people,Lugbara people,13,12458,98.5,"ethnic group, tribe",1,country_wd
Q3074760,religion in Uganda,Religion in Uganda,11,21713,98.5,religion of an area,2,country_wd|keyword_title
Q65086967,,Uganda Airlines,11,24934,98.5,airline,2,country_wd|keyword_title
Q6357128,list of World Heritage Sites in Uganda,List of World Heritage Sites in Uganda,24,1852,98.4,Wikimedia list article,2,country_wd|keyword_title
Q2737438,Kazinga Channel,Kazinga Channel,18,2344,98.4,river,1,country_wd
Q33784,Soga,Soga language,18,2844,98.4,"natural language, language, modern language",1,country_wd
Q487912,Ripon Falls,Ripon Falls,16,3492,98.4,waterfall,1,country_wd
Q7877679,Ugandan cuisine,Ugandan cuisine,14,5081,98.4,national cuisine,2,country_wd|keyword_title
Q804430,Kiga people,Kiga people,14,6240,98.4,ethnic group,1,citizenship_wd
Q1363002,John Okello,John Okello,12,13385,98.4,human,2,birth_death_wd|citizenship_wd
Q1967703,National Resistance Army,National Resistance Army,12,11685,98.4,armed organization,1,country_wd
Q78424,Wilfried Böse,Wilfried Böse,10,31151,98.4,human,1,birth_death_wd
Q3067079,Uganda women's national football team,Uganda women's national football team,16,2781,98.3,"national association football team, women's national association football team",2,country_wd|keyword_title
Q492755,Moses Isegawa,Moses Isegawa,15,3519,98.3,human,2,birth_death_wd|citizenship_wd
Q36388,Nubi,Nubi language,14,4486,98.3,"creole, natural language, language",1,country_wd
Q6697142,administrative territorial entity of Uganda,Administrative divisions of Uganda,14,4549,98.3,,2,country_wd|keyword_title
Q2915867,Rift Valley lakes,Rift Valley lakes,12,8553,98.3,group of lakes,1,country_wd
Q3809108,John Brisker,John Brisker,12,9594,98.3,human,1,birth_death_wd
