starter_rank,section,qitem,label,en_title,sitelink_count,views,priority,type_labels
100,universal: Uganda essentials,Q1015727,Mbale City,Mbale,33,5997,98.8,city
101,universal: Uganda essentials,Q500111,Arua,Arua,30,6030,98.8,city
102,universal: Uganda essentials,Q761083,Uganda Premier League,Uganda Premier League,24,8624,98.8,"association football competition, association football league, recurring sporting event"
103,universal: Uganda essentials,Q951522,Scott Hicks,Scott Hicks (director),23,9636,98.8,human
104,universal: Uganda essentials,Q336564,John Sentamu,John Sentamu,21,13673,98.8,human
105,universal: Uganda essentials,Q1779750,Geography of Uganda,Geography of Uganda,26,5212,98.7,geography of geographic location
106,universal: Uganda essentials,Q976848,Wakiso District,Wakiso District,25,6349,98.7,"electoral unit, district of Uganda"
107,universal: Uganda essentials,Q500115,Uganda Railway,Uganda Railway,19,20913,98.7,railway line/metro line
108,universal: Uganda essentials,Q17308306,Pepe Julian Onziema,Pepe Julian Onziema,17,70021,98.7,human
109,universal: Uganda essentials,Q3119017,Ugandan Bush War,Ugandan Bush War,17,46090,98.7,civil war
110,universal: Uganda essentials,Q6153522,Janet Kataaha Museveni,Janet Museveni,17,50946,98.7,human
111,universal: Uganda essentials,Q838928,Rwenzori Mountains National Park,Rwenzori Mountains National Park,46,3453,98.6,"park, national park of Uganda"
112,universal: Uganda essentials,Q2559220,Eastern Region,"Eastern Region, Uganda",41,3662,98.6,region of Uganda
113,universal: Uganda essentials,Q1015699,Lira,"Lira, Uganda",35,4324,98.6,city
114,universal: Uganda essentials,Q918295,Emmanuel Wamala,Emmanuel Wamala,26,4883,98.6,human
115,universal: Uganda essentials,Q1207825,Tororo,Tororo,25,4853,98.6,city
116,universal: Uganda essentials,Q1740843,Ruhakana Rugunda,Ruhakana Rugunda,25,4823,98.6,human
117,universal: Uganda essentials,Q956659,Masaka,Masaka,25,5024,98.6,"electoral unit, big city"
118,universal: Uganda essentials,Q1060862,Ssese Islands,Ssese Islands,23,6385,98.6,island group
119,universal: Uganda essentials,Q659324,SC Villa,SC Villa,20,12530,98.6,"association football club, sports club"
120,universal: Uganda essentials,Q445494,Shekhar Mehta,Shekhar Mehta,19,14401,98.6,human
121,universal: Uganda essentials,Q1331145,Elizabeth Nyabongo,Princess Elizabeth of Tooro,18,23868,98.6,human
122,universal: Uganda essentials,Q438374,Banyarwanda,Banyarwanda,18,19498,98.6,ethnic group
123,universal: Uganda essentials,Q382674,National Resistance Movement,National Resistance Movement,17,35986,98.6,political party
124,universal: Uganda essentials,Q4207409,expulsion of Asians from Uganda,Expulsion of Asians from Uganda,16,86417,98.6,"deportation, forced displacement, persecution"
125,universal: Uganda essentials,Q61989847,Sheila Atim,Sheila Atim,16,95196,98.6,human
126,universal: Uganda essentials,Q6933076,Muhoozi Kainerugaba,Muhoozi Kainerugaba,16,142194,98.6,human
127,universal: Uganda essentials,Q372259,John Akii-Bua,John Akii-Bua,32,4034,98.5,human
128,universal: Uganda essentials,Q34926,Acholi,Acholi dialect,30,4232,98.5,"natural language, modern language"
129,universal: Uganda essentials,Q1232016,Kasese,Kasese,27,4363,98.5,city
130,universal: Uganda essentials,Q2118355,Simon Kuper,Simon Kuper,18,15479,98.5,human
131,universal: Uganda essentials,Q2840596,LGBT rights in Uganda,LGBTQ rights in Uganda,18,14868,98.5,LGBT rights by country or territory
132,universal: Uganda essentials,Q630274,Muwenda Mutebi II of Buganda,Muwenda Mutebi II of Buganda,17,23434,98.5,human
133,universal: Uganda essentials,Q26838082,Peruth Chemutai,Peruth Chemutai,36,3233,98.4,human
134,universal: Uganda essentials,Q375485,Federation of Uganda Football Associations,Federation of Uganda Football Associations,23,4732,98.4,association football federation
135,universal: Uganda essentials,Q57873,Amama Mbabazi,Amama Mbabazi,22,4740,98.4,human
