qitem,label,statements,occupation_names,description
Q136381269,Cherish Muna,9,basketball player,Ugandan basketball player (born 2010)
Q133932947,Christine Audrey Babirye,9,chess player,Ugandan chess player
Q134277634,Christine Birungi,9,,Beach wood ball player
Q134005382,Dasha Zalwango Kibuule,9,chess player,Chess player
Q134626263,Diana Assimwe,9,volleyball player,Ugandan professional volleyball player
Q134979377,Diana Atwine,9,boxer,Ugandan boxer
Q133857550,Doreen Mbabazi,9,field hockey player,Ugandan field hockey player
Q133863943,Dorothy Nagawa,9,kabaddi player,"Ugandan national female kabaddi team player,Khokho sport player"
Q134627168,Dorren Akiteng,9,volleyball player,Ugandan professional volleyball player
Q133863858,Edinah Nattabi,9,kabaddi player,"She Gladiators team player, Kho Kho player"
Q134005492,Elizabeth Fiona Ndagire,9,chess player,Ugandan chess player
Q133933239,Elizabeth Saasi,9,chess player,Ugandan chess player
Q140471605,Emily Nagawa,9,basketball player,Ugandan professional basketball player
Q133893793,Esther Getrude Namuli,9,chess player,Ugandan chess player
Q133881087,Eunice Amuron,9,volleyball player,Volleyball player
Q134008760,Faridah Nabukeera,9,chess player,Ugandan chess player
Q135338495,Getrude Nyamutoro,9,basketball player,Ugandan basketball player (born 2006)
Q136381210,Gifty Anena,9,basketball player,Ugandan basketball player (born 2010)
Q133852893,Grace Nankinga,9,boxer,Boxer
Q136381211,Grace Walusimbi,9,basketball player,Ugandan basketball player (born 2010)
Q136381208,Hafusah Kyomuhendo,9,basketball player,Ugandan basketball player (born 2010)
Q135338535,Hajara Najjuko,9,basketball player,Ugandan basketball player (born 1998)
Q135338608,Halima Nabasumba,9,basketball player,Ugandan basketball player (born 1991)
Q133933011,Hannah Mariam Ayikoru,9,chess player,Ugandan chess player
Q134008847,Happy Britney Namirimu,9,chess player,Ugandan chess player
Q135338566,Harriet Chotabhai,9,basketball player,Ugandan basketball player (born 1996)
Q135338439,Husnah Namagembe,9,basketball player,Ugandan basketball player (born 2007)
Q134275060,Jackie Naula,9,,Beach wood ball player
Q133893645,Joan Ahereza,9,chess player,Ugandan chess player
Q136381209,Josephine Aminat,9,basketball player,Ugandan basketball player (born 2009)
Q136381224,Jovia Anena,9,basketball player,Ugandan basketball player (born 2010)
Q140753972,Joy Mirembe Namagembe,9,,Ugandan swimmer
Q135338605,Joyce Zalwango,9,basketball player,Ugandan basketball player (born 1990)
Q133848570,Judith Komugisha,9,golfer,Golfer
Q133893687,Juliet Asaba,9,chess player,Ugandan chess player
Q136381273,Kabeera Kwizera,9,basketball player,Ugandan basketball player (born 2009)
Q134626222,Ketty Aluka,9,volleyball player,Ugandan professional volleyball player
Q134008421,Lenah Ampumuza,9,chess player,Ugandan chess player
Q135338455,Leticia Awor,9,basketball player,Ugandan basketball player (born 1995)
