qitem,label,field,statements,date_of_birth,occupation_names,description
Q135179301,Hope Birungi,Other sport,7,,netballer,Ugandan netball player
Q126678820,Hope Nankunda,Academia & education,7,,teacher,Ugandan climate change activist
Q135925640,Hussein Yasmine,Other sport,7,,netballer,Ugandan netball player
Q130613995,Imelda Kasemire,Football,7,,association football player,Ugandan Footballer
Q130612688,Immaculate Nakanjako,Football,7,,association football player,Ugandan Footballer
Q133836180,Immaculate Nandera,Other sport,7,,cricketer,Ugandan female cricketer
Q130612678,Immaculate Odalu,Football,7,,association football player,Ugandan Footballer
Q141278523,Ireen Twongirwe,Other / unspecified,7,,climate activist,Ugandan climate activist
Q110977561,Irene Kaggwa Sewankambo,Other / unspecified,7,,,Ugandan electrical engineer
Q134054713,Irene Nakalembe,Other sport,7,,golfer,Golfer
Q140627826,Isabella Magezi,Other sport,7,,swimmer,Ugandan Swimmer
Q139658955,Jackie Cherotich,Activism & social work,7,,human rights defender,Human Rights Defender
Q136623273,Jackline Basemera Baingana,Other sport,7,1991-06-14T00:00:00Z,basketball player,Ugandan basketball player (born 1991)
Q133864808,Jacqueline Mwondha,Other / unspecified,7,,high court judge,Acting High Court Judge
Q134081279,Jamilah  Kamulegeya,Other / unspecified,7,,official,A member of the Public Service commission of Uganda
Q130612811,Jamirah Nabulime,Football,7,,association football player,Ugandan footballer
Q133848633,Janet Kabayonga,Other sport,7,,golfer,Golfer
Q138161355,Janet Kyaligonza,Politics & government,7,,politician,Ugandan Politician
Q133848442,Janet Namagga Kasozi,Academia & education,7,,lecturer,Lecturer nursing
Q140511831,Jassy Kabanihiza,Media & writing,7,,writer,Ugandan author
Q133864015,Jemima Zalwango,Other sport,7,,kabaddi player,player on the Ugandan national women's Kho-Kho team
Q130613936,Jemimah Immaculate Twesigye,Football,7,,association football player,Ugandan Footballer
Q133842406,Jemimah Nakawala,Other sport,7,,tennis player,Uganda tennis player
Q139960270,Jenet Ayoo Phoebe,Politics & government,7,,politician,Ugandan politician
