qitem,label,sitelink_count,local_title,local_bytes,ref_bytes,views,completeness,is_stub
Q1010056,Lake Bunyonyi,20,Ziwa Bunyonyi,1774,11335.0,4881,15.7,True
Q1207825,Tororo,25,Tororo,1015,19591.0,4853,5.2,True
Q22935831,Alan Kasujja,5,Alan Kasujja,825,4649.0,4829,17.7,True
Q2230311,Kirinyaga County,22,Kaunti ya Kirinyaga,4794,11372.0,4769,42.2,False
Q1708650,Josiah Mwangi Kariuki,5,Josiah Mwangi Kariuki,3910,15378.0,4685,25.4,False
Q6960652,Nakivubo Stadium,12,Uwanja wa michezo wa Nakivubo,6329,23893.0,4447,26.5,False
Q1232016,Kasese,27,Kasese,2875,15044.0,4363,19.1,False
Q1015699,Lira,35,"Lira, Uganda",1055,18693.0,4324,5.6,True
Q8059291,youth empowerment,7,Uwezeshaji wa vijana,3694,30739.0,4322,12.0,False
Q26251805,Bevis Mugabi,15,Bevis Mugabi,1213,17905.0,4295,6.8,True
Q54233287,Agnes Nandutu,7,Agnes Nandutu,3738,15694.0,4262,23.8,False
Q16707038,Tooro people,10,Watooro,708,9629.0,4248,7.4,True
Q5968234,Philly Lutaaya,8,Philly Lutaaya,357,7167.0,4244,5.0,True
Q34926,Acholi,30,Kiacholi,880,7648.0,4232,11.5,True
Q35042,Bari,18,Kibari,853,6901.0,4195,12.4,True
Q24565855,Monica Azuba Ntege,10,Monica Azuba Ntege,4088,8857.0,4142,46.2,False
Q637228,Kalenjin,13,Kikalenjin,1513,8539.0,4077,17.7,True
Q1905026,Madi people,12,Wamadi,2080,53845.0,4077,3.9,False
Q804474,Konjo people,16,Wakonjo,1213,64776.0,4068,1.9,True
Q372259,John Akii-Bua,32,John Akii-Bua,730,11414.0,4034,6.4,True
Q1273335,Mount Elgon National Park,20,Hifadhi ya Taifa ya Mlima Elgon,1130,12760.0,3976,8.9,True
Q799929,Gisu people,11,Wagisu,4703,10425.0,3965,45.1,False
Q493271,East African Breweries,9,East African Breweries,7272,23721.0,3946,30.7,False
Q1624192,Hoima,24,Hoima,1368,19441.0,3914,7.0,True
Q16223205,Khalid Aucho,14,Khalid Aucho,1471,23524.0,3898,6.3,True
Q165784,West,45,"Mkoa wa Magharibi, Kamerun",420,34402.0,3742,1.2,True
Q965956,Nansana,20,Nansana,893,8670.0,3715,10.3,True
Q2559220,Eastern Region,41,Mkoa wa Mashariki (Uganda),531,7418.0,3662,7.2,True
Q19957755,Farouk Miya,20,Farouk Miya,2063,14289.0,3609,14.4,False
Q749665,Nyeri County,23,Kaunti ya Nyeri,5134,13866.0,3601,37.0,False
Q3272737,Lugbarati,11,Kilugbara,922,15442.0,3596,6.0,True
Q502341,North,44,"Mkoa wa Kaskazini, Kamerun",420,45240.0,3532,0.9,True
Q2649391,Rakai,12,Rakai,1023,9796.0,3528,10.4,True
Q470632,Savio Nsereko,17,Savio Nsereko,7048,26155.0,3507,26.9,False
Q29390046,Stella Nyanzi,13,Stella Nyanzi,3962,32260.0,3482,12.3,False
Q16935180,Rema Namakula,9,Rema Namakula,1831,9798.0,3478,18.7,True
Q838928,Rwenzori Mountains National Park,46,Hifadhi ya Taifa ya Milima ya Rwenzori,2079,8526.0,3453,24.4,False
Q4742276,Kyambadde Amelia Anne,14,Amelia Kyambadde,882,8457.0,3402,10.4,True
Q3007250,culture of Uganda,5,Utamaduni wa Uganda,4095,17252.0,3380,23.7,False
Q18349252,Herman Basudde,5,Herman Basudde,3438,9708.0,3355,35.4,False
Q2821818,Abraham Chepkirwok,8,Abraham Chepkirwok,736,6857.0,3311,10.7,True
