feature_class,class_label,name,osm_type,osm_id,segments,wikidata_qid,wikipedia_tag,link_state,osm_url
school,Schools,Ajeluk Primary School,node,3998654058,1,Q22808291,,wikidata_only,https://www.openstreetmap.org/node/3998654058
school,Schools,Ajepet Primary School,node,4027352607,1,,,untagged,https://www.openstreetmap.org/node/4027352607
school,Schools,Ajia Girls Secondary School,node,5411695079,1,,,untagged,https://www.openstreetmap.org/node/5411695079
school,Schools,Ajia Memorial Secondary School,node,4011989689,1,Q22910561,,wikidata_only,https://www.openstreetmap.org/node/4011989689
school,Schools,Ajia Primary School,node,4011981460,1,Q22910493,,wikidata_only,https://www.openstreetmap.org/node/4011981460
school,Schools,Ajibu Primary School,node,3999057401,1,Q22812572,,wikidata_only,https://www.openstreetmap.org/node/3999057401
school,Schools,Ajibu Primary School,node,4010780732,1,Q22811567,,wikidata_only,https://www.openstreetmap.org/node/4010780732
school,Schools,Ajigo Primary School,node,8631831302,1,,,untagged,https://www.openstreetmap.org/node/8631831302
school,Schools,Ajinya Primary School,node,3999057417,1,,,untagged,https://www.openstreetmap.org/node/3999057417
school,Schools,Ajiraku Primary School,node,4010191379,1,Q22810355,,wikidata_only,https://www.openstreetmap.org/node/4010191379
school,Schools,Ajivu Primary School,node,3957524379,1,Q22229105,,wikidata_only,https://www.openstreetmap.org/node/3957524379
school,Schools,Ajoba Community Primary School,node,4023585897,1,Q22938385,,wikidata_only,https://www.openstreetmap.org/node/4023585897
school,Schools,Ajobi Primary School,node,4015625358,1,Q23213931,,wikidata_only,https://www.openstreetmap.org/node/4015625358
school,Schools,Ajono Primary School,node,4011973864,1,Q22910325,,wikidata_only,https://www.openstreetmap.org/node/4011973864
school,Schools,Ajonyi Primary School,node,4013663034,1,Q23198830,,wikidata_only,https://www.openstreetmap.org/node/4013663034
school,Schools,Ajonyi Primary School,node,4018245900,1,Q23068527,,wikidata_only,https://www.openstreetmap.org/node/4018245900
school,Schools,Ajota Primary School,node,4009010516,1,Q22808882,,wikidata_only,https://www.openstreetmap.org/node/4009010516
school,Schools,Ajugopi Primary School,node,4011818549,1,Q22813100,,wikidata_only,https://www.openstreetmap.org/node/4011818549
school,Schools,Ajuket Primary School,node,3991955100,1,Q22667494,,wikidata_only,https://www.openstreetmap.org/node/3991955100
school,Schools,Ajuket Primary School,node,4034577052,1,Q23053297,,wikidata_only,https://www.openstreetmap.org/node/4034577052
school,Schools,Ajulu Primary School,node,3998749719,1,Q22677980,,wikidata_only,https://www.openstreetmap.org/node/3998749719
school,Schools,Ajuri Primary School,node,3982184655,1,Q22351109,,wikidata_only,https://www.openstreetmap.org/node/3982184655
school,Schools,Ajwaa Primary School,node,4012444813,1,Q22814617,,wikidata_only,https://www.openstreetmap.org/node/4012444813
school,Schools,Akaa Secondary School,node,8631842791,1,,,untagged,https://www.openstreetmap.org/node/8631842791
school,Schools,Akaara Primary School,node,4031035454,1,Q22970742,,wikidata_only,https://www.openstreetmap.org/node/4031035454
school,Schools,Akaba Primary School,node,4010736315,1,Q22811416,,wikidata_only,https://www.openstreetmap.org/node/4010736315
school,Schools,Akaba Vocational School,node,4010736316,1,Q22811417,,wikidata_only,https://www.openstreetmap.org/node/4010736316
school,Schools,Akabaare Primary School,node,4042757253,1,,,untagged,https://www.openstreetmap.org/node/4042757253
school,Schools,Akabaare Primary School,node,4031143518,1,Q22971007,,wikidata_only,https://www.openstreetmap.org/node/4031143518
school,Schools,Akaca Noah's House,way,1410897458,1,Q22999795,,wikidata_only,https://www.openstreetmap.org/way/1410897458
school,Schools,Akado Primary School,node,3999032758,1,,,untagged,https://www.openstreetmap.org/node/3999032758
school,Schools,Akado Primary School,node,3967457934,1,Q22807462,,wikidata_only,https://www.openstreetmap.org/node/3967457934
school,Schools,Akadot Comprehensive Secondary School,way,600028452,1,Q22810277,,wikidata_only,https://www.openstreetmap.org/way/600028452
school,Schools,Akadot Primary School,node,3980590468,1,Q22810278,,wikidata_only,https://www.openstreetmap.org/node/3980590468
school,Schools,Akai Kai Primary School,node,4013681191,1,Q23198861,,wikidata_only,https://www.openstreetmap.org/node/4013681191
school,Schools,Akajumbura Primary School,node,4030949536,1,Q22970593,,wikidata_only,https://www.openstreetmap.org/node/4030949536
school,Schools,Akala Cero Primary School,node,3964777057,1,Q22662714,,wikidata_only,https://www.openstreetmap.org/node/3964777057
school,Schools,Akalabai Primary School,node,3992031761,1,Q22667866,,wikidata_only,https://www.openstreetmap.org/node/3992031761
school,Schools,Akalo Primary School,node,4018208852,1,Q23214652,,wikidata_only,https://www.openstreetmap.org/node/4018208852
school,Schools,Akalo Progressive Technical School,node,4018208853,1,Q23214655,,wikidata_only,https://www.openstreetmap.org/node/4018208853
school,Schools,Akalo Secondary School,node,4018208854,1,Q23214654,,wikidata_only,https://www.openstreetmap.org/node/4018208854
school,Schools,Akalodongo Primary School,node,4080675228,1,Q23673903,,wikidata_only,https://www.openstreetmap.org/node/4080675228
school,Schools,Akamuriei Primary School,node,4016895725,1,Q22941966,,wikidata_only,https://www.openstreetmap.org/node/4016895725
school,Schools,Akande Primary School,node,5619672059,1,Q22344427,,wikidata_only,https://www.openstreetmap.org/node/5619672059
school,Schools,Akanga Primary School,node,4011819841,1,Q22813169,,wikidata_only,https://www.openstreetmap.org/node/4011819841
school,Schools,Akangi Primary School,node,4027414490,1,Q23216006,,wikidata_only,https://www.openstreetmap.org/node/4027414490
school,Schools,Akangyera Community Primary School,node,4030729715,1,Q23045616,,wikidata_only,https://www.openstreetmap.org/node/4030729715
school,Schools,Akano Primary School,node,4027414491,1,Q23216019,,wikidata_only,https://www.openstreetmap.org/node/4027414491
school,Schools,Akany Primary School,node,4013727642,1,Q23213483,,wikidata_only,https://www.openstreetmap.org/node/4013727642
school,Schools,Akanyo Primary School,way,1350605556,1,,,untagged,https://www.openstreetmap.org/way/1350605556
school,Schools,Akanyo Primary School,node,4010736318,1,Q22811415,,wikidata_only,https://www.openstreetmap.org/node/4010736318
school,Schools,Akanyo Primary School,node,4012150933,1,Q22814238,,wikidata_only,https://www.openstreetmap.org/node/4012150933
school,Schools,Akanyo Secondary School,way,1350605558,1,,,untagged,https://www.openstreetmap.org/way/1350605558
school,Schools,Akara Primary School,node,4006924213,1,Q22776227,,wikidata_only,https://www.openstreetmap.org/node/4006924213
school,Schools,Akarukei Primary,node,4027352608,1,,,untagged,https://www.openstreetmap.org/node/4027352608
school,Schools,Akarukei Primary School,node,4023415202,1,Q22932449,,wikidata_only,https://www.openstreetmap.org/node/4023415202
school,Schools,Akarungu Primary School,node,4032618946,1,Q22977597,,wikidata_only,https://www.openstreetmap.org/node/4032618946
school,Schools,Akashabo Primary School,node,3976194757,1,Q22676542,,wikidata_only,https://www.openstreetmap.org/node/3976194757
school,Schools,Akashanda Model Primary School,node,4032622636,1,Q22977637,,wikidata_only,https://www.openstreetmap.org/node/4032622636
school,Schools,Akashenshero Primary School,node,4012848659,1,Q22910958,,wikidata_only,https://www.openstreetmap.org/node/4012848659
school,Schools,Akasomoro Primary School,node,4024419846,1,Q22941544,,wikidata_only,https://www.openstreetmap.org/node/4024419846
school,Schools,Akasusano Primary School,node,4030949537,1,Q22970560,,wikidata_only,https://www.openstreetmap.org/node/4030949537
school,Schools,Akati Primary School,node,4026344153,1,Q22952415,,wikidata_only,https://www.openstreetmap.org/node/4026344153
school,Schools,Akatojo Primary School,node,4042757254,1,,,untagged,https://www.openstreetmap.org/node/4042757254
school,Schools,Akatongole Church Primary School,node,4031002334,1,Q22970693,,wikidata_only,https://www.openstreetmap.org/node/4031002334
school,Schools,Akatongole Redeemed Primary School,node,4031002335,1,Q22970694,,wikidata_only,https://www.openstreetmap.org/node/4031002335
school,Schools,Akavu Primary school,node,4011994076,1,Q22910436,,wikidata_only,https://www.openstreetmap.org/node/4011994076
school,Schools,Akayanja Primary School,node,3976105750,1,Q22771035,,wikidata_only,https://www.openstreetmap.org/node/3976105750
school,Schools,Akayanja Primary School,node,4031035455,1,Q22970743,,wikidata_only,https://www.openstreetmap.org/node/4031035455
school,Schools,Akeirungu Primary School,node,4031143521,1,Q22971014,,wikidata_only,https://www.openstreetmap.org/node/4031143521
school,Schools,Akeit Primary School,node,3998654059,1,Q22808288,,wikidata_only,https://www.openstreetmap.org/node/3998654059
school,Schools,Akeket Primary School,node,3982184656,1,Q22351106,,wikidata_only,https://www.openstreetmap.org/node/3982184656
school,Schools,Akelikogo Primary School,node,4009375746,1,Q22808990,,wikidata_only,https://www.openstreetmap.org/node/4009375746
school,Schools,Akengeyo Primary School,node,6759084067,1,,,untagged,https://www.openstreetmap.org/node/6759084067
school,Schools,Akeriau Primary School,node,4018245901,1,Q23068532,,wikidata_only,https://www.openstreetmap.org/node/4018245901
school,Schools,Akero Primary School,node,3991959660,1,Q22680517,,wikidata_only,https://www.openstreetmap.org/node/3991959660
school,Schools,Akero Primary school,way,993722155,1,,,untagged,https://www.openstreetmap.org/way/993722155
school,Schools,Aketa Primary School,node,4016881635,1,Q22941936,,wikidata_only,https://www.openstreetmap.org/node/4016881635
school,Schools,Aketo Primary School,node,4020681000,1,Q22942584,,wikidata_only,https://www.openstreetmap.org/node/4020681000
school,Schools,Akia Primary School,node,3964713747,1,Q22673437,,wikidata_only,https://www.openstreetmap.org/node/3964713747
school,Schools,Akia Primary School,node,4009757186,1,Q22809931,,wikidata_only,https://www.openstreetmap.org/node/4009757186
school,Schools,Akiibua Secondary School,node,4016912583,1,Q23213943,,wikidata_only,https://www.openstreetmap.org/node/4016912583
school,Schools,Akilikongo Primary School,node,4010219012,1,Q22810410,,wikidata_only,https://www.openstreetmap.org/node/4010219012
school,Schools,Akilok Primary School,node,3966908926,1,Q22295767,,wikidata_only,https://www.openstreetmap.org/node/3966908926
school,Schools,Akino Kope Primary School,node,4010672693,1,Q22811276,,wikidata_only,https://www.openstreetmap.org/node/4010672693
school,Schools,Akisim II Primary School,node,3966678676,1,Q22810276,,wikidata_only,https://www.openstreetmap.org/node/3966678676
school,Schools,Akisim Primary School,node,1655707043,1,Q22933185,,wikidata_only,https://www.openstreetmap.org/node/1655707043
school,Schools,Akisim Primary School,node,3967322486,1,Q22807563,,wikidata_only,https://www.openstreetmap.org/node/3967322486
school,Schools,Akisim Primary School,node,3980590469,1,Q22808289,,wikidata_only,https://www.openstreetmap.org/node/3980590469
school,Schools,Akisim Primary School,node,3980590470,1,Q22810284,,wikidata_only,https://www.openstreetmap.org/node/3980590470
school,Schools,Akisim Primary School,node,3998654060,1,Q22808289,,wikidata_only,https://www.openstreetmap.org/node/3998654060
school,Schools,Akisim Primary School,node,3999127011,1,Q22808289,,wikidata_only,https://www.openstreetmap.org/node/3999127011
school,Schools,Akisim Primary School,node,4008932239,1,Q22808289,,wikidata_only,https://www.openstreetmap.org/node/4008932239
school,Schools,Akisim Primary School,node,4009010517,1,Q22808289,,wikidata_only,https://www.openstreetmap.org/node/4009010517
school,Schools,Akisim Primary School,node,4018245902,1,Q22808289,,wikidata_only,https://www.openstreetmap.org/node/4018245902
school,Schools,Akiswa Primary School,node,4104096052,1,Q23742565,,wikidata_only,https://www.openstreetmap.org/node/4104096052
school,Schools,Akiwa Woro Primary School,node,3966483965,1,Q22811917,,wikidata_only,https://www.openstreetmap.org/node/3966483965
school,Schools,Akka Community Primary School,node,4011877434,1,Q22910485,,wikidata_only,https://www.openstreetmap.org/node/4011877434
school,Schools,Akoboi Community Primary School,node,3980875714,1,Q22810537,,wikidata_only,https://www.openstreetmap.org/node/3980875714
school,Schools,Akoboi Primary School,node,4008932240,1,Q22808870,,wikidata_only,https://www.openstreetmap.org/node/4008932240
school,Schools,Akoboi Primary School,node,4017113586,1,Q22808870,,wikidata_only,https://www.openstreetmap.org/node/4017113586
school,Schools,Akobwait Baptist Primary School,node,4032651019,1,Q23047966,,wikidata_only,https://www.openstreetmap.org/node/4032651019
