qitem,label,sitelink_count,num_strategies,strategies,types,gender_qid,admin_qid,latitude,longitude,date_of_birth,inception,en_title,lg_title,sw_title,en_views,is_core,gender,admin_label,type_labels
Q64782291,,2,1,country_wd,,,,,,,,,,Mto Kaicokaga,0,1,,,
Q64782298,,2,1,country_wd,,,,,,,,,,Mto Karusura,0,1,,,
Q64782300,,2,1,country_wd,,,,,,,,,,Mto Katehi,0,1,,,
Q64782308,,2,1,country_wd,,,,,,,,,,Mto Kisera,0,1,,,
Q64782311,,2,1,country_wd,,,,,,,,,,Mto Koibokasa,0,1,,,
Q64782320,,2,1,country_wd,,,,,,,,,,Mto Mukagugu,0,1,,,
Q64782322,Makumiri,2,1,country_wd,Q16465938,,,,,,,,,Mto Mukumiri,0,1,,,seasonal river
Q64782330,,2,1,country_wd,,,,,,,,,,Mto Nakabiri,0,1,,,
Q64782333,,2,1,country_wd,,,,,,,,,,Mto Nyabuzinge,0,1,,,
Q64782337,,2,1,country_wd,,,,,,,,,,Mto Nyakaija,0,1,,,
Q64782339,,2,1,country_wd,,,,,,,,,,Mto Nyamahwa,0,1,,,
Q6478264,Lake Victoria Serena Resort,1,1,country_wd,Q27686,,Q976848,0.198611,32.598611,,,Lake Victoria Serena Resort,,,0,1,,Wakiso District,hotel
Q6478266,Lake Victoria ferries,3,1,country_wd,Q924286,,,,,,,Lake Victoria ferries,,,0,1,,,transport network
Q64799394,,2,1,country_wd,Q47521,,,,,,,,,Mto Ibohe,0,1,,,stream
Q64799407,,2,1,country_wd,Q47521,,,,,,,,,Mto Ichwabitengo,0,1,,,stream
Q64799422,,2,1,country_wd,Q47521,,,,,,,,,Mto Itongo,0,1,,,stream
Q64799533,,2,1,country_wd,Q47521,,,,,,,,,Mto Kabagarama (Masindi),0,1,,,stream
Q64799565,,2,1,country_wd,Q47521,,,,,,,,,Mto Kabakagire,0,1,,,stream
Q64799580,,2,1,country_wd,Q47521,,,,,,,,,Mto Kabarwana,0,1,,,stream
Q64799603,,2,1,country_wd,Q47521,,,,,,,,,Mto Kabolokota (Masindi),0,1,,,stream
Q64799694,,2,1,country_wd,Q47521,,,,,,,,,Mto Kabuta (Masindi),0,1,,,stream
Q64799829,,2,1,country_wd,Q47521,,,,,,,,,Mto Kachwekere,0,1,,,stream
Q64799833,,2,1,country_wd,Q47521,,,,,,,,,Mto Kaigota,0,1,,,stream
Q64799835,,2,1,country_wd,Q47521,,,,,,,,,Mto Kaitabahuma,0,1,,,stream
Q64799837,,2,1,country_wd,Q47521,,,,,,,,,Mto Kaitambwe,0,1,,,stream
Q64799841,,2,1,country_wd,Q47521,,,,,,,,,Mto Kalyonpalala,0,1,,,stream
Q64800016,,2,1,country_wd,Q47521,,,,,,,,,Mto Kizimwa,0,1,,,stream
Q64800019,,2,1,country_wd,Q47521,,,,,,,,,Mto Kyabinyindo,0,1,,,stream
Q64800021,,2,1,country_wd,Q47521,,,,,,,,,Mto Kyantemere,0,1,,,stream
Q64800023,,2,1,country_wd,Q47521,,,,,,,,,Mto Kyetindo,0,1,,,stream
Q64805060,,2,1,country_wd,Q47521,,,,,,,,,Mto Musiki,0,1,,,stream
Q64805164,,2,1,country_wd,Q47521,,,,,,,,,Mto Musoma,0,1,,,stream
Q64805309,,2,1,country_wd,Q47521,,,,,,,,,Mto Nakabingo,0,1,,,stream
Q64805361,,2,1,country_wd,Q47521,,,,,,,,,Mto Nakafunyo,0,1,,,stream
Q64805417,,2,1,country_wd,Q47521,,,,,,,,,Mto Nakasimbi,0,1,,,stream
Q64805485,,2,1,country_wd,Q47521,,,,,,,,,Mto Nakibete,0,1,,,stream
Q64805531,,2,1,country_wd,Q47521,,,,,,,,,Mto Namosore,0,1,,,stream
Q64805579,,2,1,country_wd,Q47521,,,,,,,,,Mto Nasembe,0,1,,,stream
Q64809098,,2,1,country_wd,Q47521,,,,,,,,,Mto Ntoma (Masindi),0,1,,,stream
Q64809281,,2,1,country_wd,Q47521,,,,,,,,,Mto Nyabalingwa,0,1,,,stream
