title,depth,parent,files,subcats,theme,campaign,truncated
Category:Drainage canals in Uganda,4,Category:Drainage in Uganda,21,0,Other,,1
Category:Election apportionment diagrams of Uganda,2,Category:Uganda by topic,21,0,Charts and data,,0
Category:Floods in Uganda,3,Category:Bodies of water in Uganda,21,7,Other,,0
Category:Fungi of Rwenzori Mountains National Park,4,Category:Fungi of Uganda,21,0,Geography,,1
Category:Henry Kalungi,4,Category:Men of Uganda by name,21,0,Other,,1
Category:Hot springs in Uganda,4,Category:Volcanism of Uganda,21,9,Other,,1
Category:Jacob Araptany,4,Category:Men of Uganda by name,21,0,Other,,1
Category:Kalangala District,4,"Category:Central Region, Uganda",21,2,Geography,,1
Category:Life expectancy charts for Uganda,2,Category:Health in Uganda,21,1,Charts and data,,0
Category:Mulago Hospital,3,"Category:National Cultural Sites in Central Region, Uganda",21,0,Buildings,,0
Category:Peruth Chemutai,4,Category:Women of Uganda by name,21,0,Other,,1
Category:Soroti,4,"Category:Eastern Region, Uganda",21,2,Other,,1
Category:Uganda Virus Research Institute,2,Category:Health in Uganda,21,1,Other,,0
Category:Unidentified Hemiptera of Uganda,4,Category:Unidentified insects of Uganda,21,0,Other,,1
Category:Unidentified lakes of Uganda,4,Category:Unidentified bodies of water in Uganda,21,0,Geography,,1
Category:Vegetables of Uganda,3,Category:Food of Uganda,21,20,Other,,0
Category:Wellcome - Uganda,2,Category:Health in Uganda,21,2,Other,,0
Category:Ambassadors of Uganda,3,Category:Government of Uganda,20,6,Other,,0
Category:Bukwo District,4,"Category:Eastern Region, Uganda",20,0,Geography,,1
Category:Egg dishes of Uganda,4,Category:Cuisine of Uganda,20,1,Other,,1
Category:Elephants in art of Uganda,3,Category:Art of Uganda,20,0,Culture,,0
Category:Featured pictures of animals in Uganda,4,Category:Animals of Uganda,20,1,Environment,,1
Category:Flora of Kibale National Park,4,Category:Flora of Uganda,20,0,Environment,,1
Category:Homesteads in Uganda,4,Category:Accommodation buildings in Uganda,20,0,Other,,1
Category:Kagera River,4,Category:Rivers of Uganda,20,3,Geography,,1
Category:Kitgum District,4,"Category:Northern Region, Uganda",20,2,Geography,,1
Category:Kween District,4,"Category:Eastern Region, Uganda",20,0,Geography,,1
Category:Masaka Secondary School,3,Category:Schools in Uganda,20,0,Buildings,,0
Category:Mityana District,4,"Category:Central Region, Uganda",20,2,Geography,,1
"Category:Mpigi District, Uganda",4,"Category:Central Region, Uganda",20,2,Geography,,1
Category:Pink flowers in Uganda,4,Category:Flowers of Uganda by color,20,0,Other,,1
Category:Rebecca Kadaga,2,Category:Speaker of the Parliament of Uganda,20,0,Other,,0
Category:Red flowers in Uganda,4,Category:Flowers of Uganda by color,20,0,Other,,1
Category:Teso people,3,Category:Ethnic groups in Uganda,20,0,People,,0
Category:Ugandan Xylophones,3,Category:Musical instruments of Uganda,20,0,Other,,0
Category:Waragi,4,Category:Beverages from Uganda,20,0,Other,,1
Category:1lib1ref in Uganda,2,Category:Wikimedia movement in Uganda,19,0,Other,,0
Category:2006 in Uganda,3,Category:Uganda by year,19,5,History,,0
Category:Adjumani,4,"Category:Northern Region, Uganda",19,0,Other,,1
Category:Beef dishes of Uganda,4,Category:Meat dishes of Uganda,19,0,Other,,1
Category:CIA World Factbook maps of Uganda,3,Category:Maps of Uganda,19,0,Geography,,0
Category:Edward Ssekandi,2,Category:Speaker of the Parliament of Uganda,19,0,Other,,0
Category:Gardens in Uganda,3,Category:Nature of Uganda,19,3,Other,,0
Category:Kampala in the 2000s,4,Category:Kampala by decade,19,1,Other,,1
Category:Kijunde Falls,4,Category:Waterfalls in Uganda,19,0,Other,,1
Category:Lake Kijanebalola,4,Category:Lakes of Uganda,19,0,Geography,,1
Category:Maps of Catholic dioceses of Uganda,3,Category:Maps of Uganda,19,0,Geography,,0
Category:MoU Signings of Wikimedia Community User Group Uganda,3,Category:Wikimedia Community User Group Uganda,19,0,Wikimedia community,,0
Category:Nabulagala Mapeera church,3,"Category:National Cultural Sites in Central Region, Uganda",19,0,Other,,0
Category:National Resistance Movement,3,Category:Political parties in Uganda,19,11,Other,,0
Category:Night in Kampala,3,Category:Views of Kampala,19,0,Other,,0
Category:Photos of Uganda by ISS Expedition 18 Crew Earth Observations,4,Category:Photos of Uganda from ISS,19,0,Other,,1
Category:Photos of Uganda by ISS Expedition 28 Crew Earth Observations,4,Category:Photos of Uganda from ISS,19,0,Other,,1
Category:Products of Uganda,2,Category:Uganda by topic,19,4,Other,,0
Category:Quality images of animals in Uganda,4,Category:Animals of Uganda,19,2,Environment,,1
"Category:Refugee netball competitions in Kikuube district, Kyangwaali Settlement",4,Category:Displaced persons in Uganda,19,0,Geography,,1
Category:Rubanda District,4,"Category:Western Region, Uganda",19,0,Geography,,1
Category:Shree Sanatan Dharma Mandal temple (Kampala),3,"Category:National Cultural Sites in Central Region, Uganda",19,0,Other,,0
Category:Taxis in Uganda,3,Category:Vehicles in Uganda,19,2,Other,,0
Category:The Uganda Society,2,Category:Organizations of Uganda,19,1,Other,,0
Category:Tutsi people,4,Category:Tutsi,19,6,People,,1
Category:Vaccinations in Uganda,3,Category:Healthcare in Uganda,19,0,Other,,0
Category:2017 in Uganda,3,Category:Uganda by year,18,9,History,,0
Category:Bahá'í House of Worship in Kampala,3,"Category:National Cultural Sites in Central Region, Uganda",18,0,Other,,0
Category:Beverages from Uganda,3,Category:Food of Uganda,18,7,Other,,0
Category:Bwindi Impenetrable Forest,4,Category:Forests in Uganda,18,1,Environment,,1
Category:Female musicians from Uganda,4,Category:Women of Uganda by occupation,18,9,People,,1
Category:Gayaza High School,2,Category:Education in Uganda,18,0,Buildings,,0
Category:Health maps of Uganda,2,Category:Health in Uganda,18,0,Geography,,0
Category:Ivory Tower building (Makerere University),3,"Category:National Cultural Sites in Central Region, Uganda",18,0,Buildings,,0
Category:Jie people,3,Category:Ethnic groups in Uganda,18,0,People,,0
Category:Judges from Uganda,3,Category:People of Uganda by occupation,18,3,Other,,0
Category:Kibubura Church,3,"Category:National Cultural Sites in Western Region, Uganda",18,0,Other,,0
Category:Kikuube District,4,"Category:Western Region, Uganda",18,2,Geography,,1
Category:Kitagata Hot Springs,3,"Category:National Cultural Sites in Western Region, Uganda",18,0,Other,,0
Category:Köppen-Geiger Climate Classification Maps for Uganda,4,Category:Maps of weather and climate of Uganda,18,0,Geography,,1
Category:Lake Nkuruba,4,"Category:Western Region, Uganda",18,0,Geography,,1
Category:Luganda Wikipedia Wiki GAP launch in Uganda 2023,4,Category:WIKIGAP Uganda 2023,18,0,Other,,1
Category:Munarya Cave,3,"Category:National Cultural Sites in Eastern Region, Uganda",18,0,Other,,0
Category:Oranges of Uganda,4,Category:Fruit of Uganda,18,0,Other,,1
Category:Photos of Uganda by ISS Expedition 26 Crew Earth Observations,4,Category:Photos of Uganda from ISS,18,0,Other,,1
Category:Refugees in Uganda,3,Category:People in Uganda,18,3,Other,,0
Category:Residential buildings in Kampala,4,Category:Buildings in Kampala by function,18,2,Buildings,,1
Category:SVG flags of Uganda,3,Category:Flags of Uganda by type of image,18,6,Other,,0
Category:Slums in Uganda,3,Category:Poverty in Uganda,18,1,Other,,0
Category:Sombe,4,Category:Cuisine of Uganda,18,0,Other,,1
Category:Speaker of the Parliament of Uganda,1,Category:Uganda,18,6,Government,,0
Category:Thatched roofs in Uganda,4,Category:Roofs in Uganda,18,0,Other,,1
Category:Traditional medicine in Uganda,3,Category:Healthcare in Uganda,18,2,Health,,0
Category:Water in Uganda,3,Category:Nature of Uganda,18,19,Other,,0
Category:Wiki for Refugees 2022 in Uganda,3,Category:2022 Wikimedia movement in Uganda,18,0,Wikimedia community,,0
Category:Wiki for Refugees in Uganda 2023,3,Category:2023 Wikimedia movement in Uganda,18,0,Wikimedia community,,0
Category:Yellow flowers in Uganda,4,Category:Flowers of Uganda by color,18,1,Other,,1
Category:Yellow sunsets of Uganda,4,Category:Sunsets of Uganda by color,18,0,Other,,1
Category:Christianity in Uganda,3,Category:Religion in Uganda,17,13,Other,,0
Category:Diagrams of information road signs of Uganda,4,Category:Diagrams of road signs of Uganda,17,1,Charts and data,,1
Category:Entertainment in Uganda,2,Category:Culture of Uganda,17,8,Other,,0
Category:Female police officers of Uganda,4,Category:Women of Uganda by occupation,17,0,Government,,1
Category:Flags of historical kingdoms of Uganda,3,Category:Historical flags of Uganda,17,1,History,,0
Category:Fort Portal Airport,4,Category:Airports in Uganda,17,0,Buildings,,1
"Category:Illustrations de Aux sources du Nil par Jules Leclercq, 1913",4,Category:Uganda Railway,17,0,Other,,1
Category:Interior of Gaddafi National Mosque,4,Category:Gaddafi National Mosque,17,0,Other,,1
Category:Jinja African Commonwealth war Cemetery,3,"Category:National Cultural Sites in Eastern Region, Uganda",17,0,Other,,0
Category:Karegyeya Rock shelter,3,"Category:National Cultural Sites in Western Region, Uganda",17,0,Other,,0
Category:Kibubura Girls' Secondary School,3,"Category:National Cultural Sites in Western Region, Uganda",17,0,Buildings,,0
Category:Kyenjojo District,4,"Category:Western Region, Uganda",17,0,Geography,,1
Category:Linguistic maps of the Swahili language,4,Category:Swahili language,17,0,Geography,,1
Category:Makindye Division,4,Category:Subdivisions of Uganda,17,1,Other,,1
Category:Mengo Hospital,3,Category:Wellcome - Uganda,17,0,Buildings,,0
Category:Mount Kadam,4,Category:Mountains of Uganda,17,0,Other,,1
Category:Ntungamo District,4,"Category:Western Region, Uganda",17,4,Geography,,1
Category:Omweso,4,Category:Sports in Buganda,17,0,Other,,1
Category:Peeling cassava in Uganda,4,Category:Food preparation in Uganda,17,0,Other,,1
Category:People of Uganda in 2014,4,Category:2014 in Uganda,17,0,People,,1
Category:People of Uganda in 2017,4,Category:2017 in Uganda,17,0,People,,1
Category:Refugees from Uganda,3,Category:People of Uganda,17,0,Other,,0
Category:Relations of Uganda and the United States,4,Category:Bilateral relations of Uganda,17,14,Other,,1
Category:Rwenzori-Virunga montane moorlands,4,Category:Wetlands of Uganda,17,2,Other,,1
Category:Rwenzururu,2,Category:History of Uganda,17,0,Other,,0
Category:Satellite pictures of Uganda,2,Category:Geography of Uganda,17,4,Other,,0
Category:Soils in Uganda,3,Category:Geology of Uganda,17,1,Other,,0
Category:Soroti University,4,Category:Universities in Uganda,17,1,Other,,1
Category:Unidentified Asterales in Uganda,4,Category:Asterales in Uganda,17,0,Other,,1
Category:Videos from Wiki Loves Africa 2025 in Uganda,4,Category:Wiki Loves Africa 2025 in Uganda,17,0,History,Wiki Loves Africa,1
Category:WikiGap in Uganda,2,Category:Wikimedia movement in Uganda,17,7,Other,,0
Category:1900s maps of Uganda,4,Category:Uganda in the 1900s,16,0,Geography,,1
Category:Animals of Mgahinga Gorilla National Park,4,Category:Animals of Uganda,16,2,Environment,,1
Category:Aquatic plants in Uganda,4,Category:Flora of Uganda,16,1,Environment,,1
Category:Army of the Democratic Republic of the Congo during operations against ADF,4,Category:Allied Democratic Forces insurgency,16,0,Other,,1
Category:ArtAndFeminism 2024 in Uganda Submissions,4,Category:ArtAndFeminism 2024 in Uganda,16,0,History,,1
Category:Ateker Community Museum,4,Category:Community Museums in Uganda,16,0,Buildings,,1
Category:Bakiga,3,Category:Ethnic groups in Uganda,16,0,Other,,0
Category:Biharwe Eclipse Monument,3,"Category:National Cultural Sites in Western Region, Uganda",16,0,Buildings,,0
Category:Bwindi Impenetrable National Park,3,Category:World Heritage Sites in Uganda,16,5,Environment,,0
Category:Climate change in Uganda,3,Category:Weather and climate of Uganda,16,2,Other,,0
Category:Cymbopogon nardus,4,Category:Flora of Uganda,16,0,Other,,1
Category:Displaced persons camps in Uganda,4,Category:Refugees in Uganda,16,0,People,,1
"Category:Eastern Region, Uganda",3,Category:Regions of Uganda,16,33,Geography,,0
Category:Flags of Buganda,3,Category:Buganda,16,0,Other,,0
Category:Grasslands in Uganda,2,Category:Geography of Uganda,16,0,Other,,0
Category:Headgear of Uganda,3,Category:Clothing of Uganda,16,2,Other,,0
Category:Hotels in Kampala,3,Category:Economy of Kampala,16,5,Other,,0
Category:Journalists from Uganda,3,Category:People of Uganda by occupation,16,9,Other,,0
"Category:Kalungu, Uganda",4,Category:Populated places in Uganda,16,0,Other,,1
Category:Loice Chekwemoi,4,Category:Women of Uganda by name,16,0,Other,,1
Category:Luweero District,4,"Category:Central Region, Uganda",16,3,Geography,,1
Category:Lyantonde District,4,"Category:Central Region, Uganda",16,0,Geography,,1
Category:Maize fields in Uganda,4,Category:Fields in Uganda,16,0,Other,,1
Category:Moses Magogo Hassim,4,Category:Men of Uganda by name,16,0,Other,,1
Category:PNG flags of Uganda,3,Category:Flags of Uganda by type of image,16,0,Other,,0
Category:Passion fruits in Uganda,4,Category:Fruit of Uganda,16,0,Environment,,1
Category:Relations of Australia and Uganda,4,Category:Bilateral relations of Uganda,16,0,Other,,1
Category:Rukidi IV of Tooro,4,Category:Men of Uganda by name,16,0,Other,,1
Category:Sezibwa Falls,3,"Category:National Cultural Sites in Central Region, Uganda",16,0,Other,,0
Category:Sheema District,4,"Category:Western Region, Uganda",16,0,Geography,,1
Category:Statue of Gerald Portal,4,Category:Statues in Uganda,16,0,Other,,1
Category:Tooro people,3,Category:Ethnic groups in Uganda,16,0,People,,0
Category:Unidentified trees in Uganda,3,Category:Unidentified plants in Uganda,16,3,Environment,,0
Category:Videos from Wiki Loves Earth 2026 in Uganda,4,Category:Wiki Loves Earth 2026 in Uganda,16,0,History,Wiki Loves Earth,1
Category:Views of Mount Sabyinyo from Uganda,3,Category:Views of Virunga Mountains from Uganda,16,0,Other,,0
Category:2020 floods in Uganda,4,Category:2020 in Uganda,15,0,Other,,1
Category:2026 Ebola outbreak,4,Category:2026 in Uganda,15,0,Other,,1
Category:5X-JOE (aircraft),4,Category:Aircraft registered in Uganda,15,0,Other,,1
Category:Barkcloth making in Uganda,3,Category:Clothing of Uganda,15,0,Other,,0
Category:Birds of Uganda,4,Category:Animals of Uganda,15,19,Environment,,1
Category:Bududa District,4,"Category:Eastern Region, Uganda",15,0,Geography,,1
Category:Buganda Masaza Cycling Tour,4,Category:Sports in Buganda,15,0,Other,,1
Category:Bugandan monarchy,3,Category:Buganda,15,2,Other,,0
Category:Fields in Uganda,3,Category:Agriculture in Uganda,15,2,Other,,0
Category:Flags of Uganda,3,Category:Symbols of Uganda,15,14,Other,,0
Category:Flooded roads in Uganda,4,Category:Floods in Uganda,15,0,Buildings,,1
Category:Fungi of Kibale National Park,4,Category:Fungi of Uganda,15,0,Environment,,1
Category:Hospitals in Kampala,4,Category:Medical buildings in Kampala,15,3,Buildings,,1
Category:Jill Biden visits Kenya (2011-08-08),4,Category:2011 Horn of Africa famine,15,0,Other,,1
Category:Juices from Uganda,4,Category:Beverages from Uganda,15,0,Other,,1
Category:Kololo Ceremonial Grounds,3,"Category:National Cultural Sites in Central Region, Uganda",15,1,Other,,0
Category:Milk in Uganda,3,Category:Food of Uganda,15,3,Other,,0
Category:Muni University,4,Category:Universities in Uganda,15,0,Other,,1
Category:Nuwa Mbaguta memorial,3,"Category:National Cultural Sites in Western Region, Uganda",15,0,Other,,0
Category:Satellite pictures of lakes of Uganda,3,Category:Satellite pictures of Uganda,15,2,Geography,,0
Category:Strophanthus preussii,4,Category:Flora of Uganda,15,1,Other,,1
Category:Traditional leaders of Buganda,4,Category:Government of Buganda,15,1,Other,,1
Category:Unidentified birds of Uganda,3,Category:Unidentified animals in Uganda,15,0,Environment,,0
Category:United States Navy images from Uganda,3,Category:United States Navy in Uganda,15,0,Other,,0
Category:Victor Kiplangat,4,Category:Men of Uganda by name,15,0,Other,,1
Category:White flowers in Uganda,4,Category:Flowers of Uganda by color,15,0,Other,,1
Category:Wiki Loves Sport in Uganda Edit-a-thon 2025,4,Category:Wiki Loves Sport 2025 in Uganda,15,0,Wikimedia community,,1
Category:Wiki for Minorities in Uganda,2,Category:Wikimedia movement in Uganda,15,1,Wikimedia community,,0
Category:2021 floods in Uganda,4,Category:2021 in Uganda,14,0,Other,,1
Category:Aberi Balya,4,Category:Men of Uganda by name,14,0,Other,,1
Category:Air force of Uganda,3,Category:Aviation in Uganda,14,2,Other,,0
Category:Babies of Uganda,2,Category:Uganda by topic,14,2,Other,,0
"Category:Batwa Pygmy peoples from the village of Kiguri, Rwanda",4,Category:Batwa,14,0,Other,,1
Category:Diagrams of route signs of Uganda,4,Category:Diagrams of road signs of Uganda,14,0,Charts and data,,1
Category:Endingidi,3,Category:Musical instruments of Uganda,14,0,Other,,0
Category:Farmers in Uganda,3,Category:People of Uganda by occupation,14,0,Other,,0
Category:Fort Patiko,3,Category:Visitor attractions in Uganda,14,0,Other,,0
Category:Geoffrey Kateregga,4,Category:Men of Uganda by name,14,0,Other,,1
Category:Graves in Kampala,4,Category:Graves in Uganda,14,1,Culture,,1
Category:Halimah Nakaayi,4,Category:Women of Uganda by name,14,0,Other,,1
Category:Information technology in Uganda,2,Category:Uganda by topic,14,0,Other,,0
Category:Josephine Lalam,4,Category:Women of Uganda by name,14,0,Other,,1
Category:Kiboga District,4,"Category:Central Region, Uganda",14,0,Geography,,1
Category:Konjo people,3,Category:Ethnic groups in Uganda,14,0,People,,0
Category:Logos of organizations of Uganda,2,Category:Organizations of Uganda,14,4,Other,,0
Category:Lwengo District,4,"Category:Central Region, Uganda",14,0,Geography,,1
Category:Maize in Uganda,4,Category:Vegetables of Uganda,14,1,Other,,1
Category:Mandazi,4,Category:Cuisine of Uganda,14,1,Other,,1
Category:Maps of Kampala,3,Category:Maps of Uganda,14,0,Geography,,0
Category:Maps of Lake Albert (Uganda),3,Category:Maps of Uganda,14,0,Geography,,0
Category:Masindi District,4,"Category:Western Region, Uganda",14,3,Geography,,1
Category:Mosques in Uganda,4,Category:Religious buildings in Uganda,14,7,Culture,,1
Category:Nantawetwa Buganda Monument,3,Category:Monuments and memorials in Uganda,14,0,Buildings,,0
Category:Nebbi District,4,"Category:Northern Region, Uganda",14,1,Geography,,1
Category:Old women of Uganda,3,Category:Old people of Uganda,14,0,People,,0
Category:Ornamental plants in Uganda,4,Category:Gardens and parks in Uganda,14,1,Environment,,1
Category:People of Uganda in 2015,4,Category:2015 in Uganda,14,0,People,,1
Category:People of Uganda in 2021,4,Category:2021 in Uganda,14,2,People,,1
Category:Protectorate of Uganda,1,Category:Uganda,14,0,Other,,0
Category:Relations of Germany and Uganda,4,Category:Bilateral relations of Uganda,14,5,Other,,1
Category:Rukidi III of Tooro,4,Category:Monarchs of Tooro,14,0,Other,,1
Category:Soft Ground Wrestling in Uganda,4,Category:Professional wrestling in Uganda,14,0,Other,,1
Category:Street food in Uganda,4,Category:Cuisine of Uganda,14,0,Culture,,1
Category:SuSanA project in Uganda 2005,3,Category:Sustainable Sanitation Alliance in Uganda,14,0,Other,,0
Category:Train stations in Uganda,3,Category:Rail transport in Uganda,14,2,Other,,0
Category:Transport of firewood in Uganda,3,Category:Transport in Uganda,14,0,Buildings,,0
Category:Water reflections in Uganda,4,Category:Water in Uganda,14,1,Other,,1
Category:Wiki for Minorities 2026 in Uganda,3,Category:Wiki for Minorities in Uganda,14,2,Wikimedia community,,0
Category:Wikivoyage banners of Uganda,1,Category:Uganda,14,0,Other,,0
Category:Writers from Uganda,3,Category:People of Uganda by occupation,14,3,People,,0
Category:2005 in Uganda,3,Category:Uganda by year,13,3,History,,0
Category:Afriart Gallery,4,Category:Art in Uganda,13,0,Other,,1
Category:Beaches of Uganda,3,Category:Landforms of Uganda,13,1,Other,,0
Category:Benjamin Kiplagat,4,Category:Men of Uganda by name,13,0,Other,,1
Category:Bukedea District,4,"Category:Eastern Region, Uganda",13,1,Geography,,1
Category:Bulambuli District,4,"Category:Eastern Region, Uganda",13,1,Geography,,1
Category:Busoga,2,Category:History of Uganda,13,1,Other,,0
Category:Busowoko Falls,4,Category:Waterfalls in Uganda,13,0,Other,,1
Category:Charcoal in Uganda,4,Category:Firewood in Uganda,13,1,Other,,1
Category:Chicken dishes of Uganda,4,Category:Meat dishes of Uganda,13,0,Other,,1
Category:Culture of Kampala,2,Category:Culture of Uganda,13,9,Culture,,0
Category:Deaths in Uganda,3,Category:Death in Uganda,13,1,Other,,0
Category:Female models from Uganda,4,Category:Women of Uganda by occupation,13,5,Other,,1
Category:Ishaka,4,Category:Populated places in Uganda,13,0,Other,,1
Category:Kamwenge District,4,"Category:Western Region, Uganda",13,3,Geography,,1
Category:Kanungu District,4,"Category:Western Region, Uganda",13,6,Geography,,1
Category:Kyambogo University,4,Category:Universities in Uganda,13,2,Other,,1
Category:Lado,2,Category:History of Uganda,13,0,Other,,0
Category:Maps of traditional kingdoms of Uganda,3,Category:Maps of the history of Uganda,13,1,Geography,,0
Category:Mothers and children in Uganda,3,Category:Children of Uganda,13,0,People,,0
Category:Ntungwe River,4,Category:Rivers of Uganda,13,0,Geography,,1
Category:Paul Ssemogerere,4,Category:Men of Uganda by name,13,0,Other,,1
Category:Pork dishes of Uganda,4,Category:Meat dishes of Uganda,13,0,Other,,1
Category:Rabbit husbandry in Uganda,4,Category:Animal husbandry in Uganda,13,0,Other,,1
Category:Refugee camps in Uganda,2,Category:Society of Uganda,13,6,Geography,,0
Category:Relations of Israel and Uganda,4,Category:Bilateral relations of Uganda,13,5,Other,,1
Category:Rice in Uganda,3,Category:Food of Uganda,13,0,Other,,0
Category:Sebei people,3,Category:Ethnic groups in Uganda,13,0,People,,0
Category:St. Matia Mulumba Catholic parish,3,"Category:National Cultural Sites in Central Region, Uganda",13,0,Other,,0
Category:Termite mounds in Uganda,4,Category:Animal-built objects in Uganda,13,0,Other,,1
Category:Tororo Rock,3,"Category:National Cultural Sites in Eastern Region, Uganda",13,0,Other,,0
Category:Unidentified animals in Uganda,2,Category:Unidentified subjects in Uganda,13,4,Environment,,0
Category:Wiki Loves Africa 2024 in Uganda,3,Category:2024 Wikimedia movement in Uganda,13,2,History,Wiki Loves Africa,0
Category:Wiki Loves Earth 2024 in Uganda,3,Category:2024 Wikimedia movement in Uganda,13,1,History,Wiki Loves Earth,0
Category:Alfred Tucker,4,Category:Men of Uganda by name,12,1,Other,,1
Category:Amelia Kyambadde,4,Category:Government ministers of Uganda,12,0,Other,,1
Category:Asterales in Uganda,3,Category:Plants of Uganda by order,12,2,Other,,0
Category:Beehives in Uganda,4,Category:Agricultural equipment in Uganda,12,0,Other,,1
Category:Bulange,3,"Category:National Cultural Sites in Central Region, Uganda",12,0,Other,,0
Category:Butambala District,4,"Category:Central Region, Uganda",12,0,Geography,,1
Category:Computers in Uganda,3,Category:Technology in Uganda,12,0,Other,,0
Category:East African montane forests,4,Category:Ecoregions of Uganda (One Earth),12,6,Environment,,1
Category:Ennanga,4,Category:Enanga (harp),12,0,Other,,1
Category:Families of Uganda,3,Category:People of Uganda,12,1,People,,0
Category:Flora of Murchison Falls National Park,4,Category:Flora of Uganda,12,0,Environment,,1
Category:Galt Memorial,3,"Category:National Cultural Sites in Western Region, Uganda",12,0,Other,,0
Category:Geography of Uganda,1,Category:Uganda,12,20,Geography,,0
Category:Geology of Uganda,2,Category:Uganda by topic,12,16,Other,,0
Category:Ham Mukasa Museum,4,Category:Community Museums in Uganda,12,0,Buildings,,1
Category:John Garang,4,Category:Nilotic peoples,12,0,Other,,1
Category:Kasha Nabagesera,4,Category:Women of Uganda by name,12,0,Other,,1
Category:Kiryowa Kiwanuka,4,Category:Government ministers of Uganda,12,0,Other,,1
Category:Lake George (Uganda),4,Category:Lakes of Uganda,12,0,Geography,,1
Category:Maps of rivers of Uganda,3,Category:Maps of Uganda,12,0,Geography,,0
Category:Maps of the history of Uganda,2,Category:History of Uganda,12,4,Geography,,0
Category:Military aircraft at Entebbe International Airport,4,Category:Aircraft at Entebbe International Airport,12,0,Buildings,,1
Category:Mutesa II of Buganda monument,3,Category:Monuments and memorials in Uganda,12,0,Buildings,,0
Category:Nakasongola District,4,"Category:Central Region, Uganda",12,1,Geography,,1
Category:People of Uganda in health professions,3,Category:People of Uganda by occupation,12,3,People,,0
Category:Petrol stations in Uganda,3,Category:Energy in Uganda,12,0,Other,,0
Category:Picralima nitida,4,Category:Apocynaceae in Uganda,12,0,Other,,1
Category:Relations of South Sudan and Uganda,4,Category:Bilateral relations of Uganda,12,0,Other,,1
Category:Sam Kutesa,4,Category:Ministers of Foreign Affairs of Uganda,12,0,Other,,1
Category:Stoves in Uganda,4,Category:Heating in Uganda,12,1,Other,,1
Category:Tomatoes in Uganda,4,Category:Fruit of Uganda,12,0,Other,,1
Category:Triple Canopy,4,Category:Military relations of Uganda and the United States,12,0,Other,,1
Category:Uganda in the 2010s,3,Category:Uganda by decade,12,16,Other,,0
Category:Unidentified Hymenoptera of Uganda,4,Category:Unidentified insects of Uganda,12,0,Other,,1
Category:Unidentified mammals of Uganda,3,Category:Unidentified animals in Uganda,12,0,Other,,0
Category:Usama Mukwaya,4,Category:Men of Uganda by name,12,0,Other,,1
Category:Vocalists from Uganda,4,Category:Musicians from Uganda,12,5,Other,,1
Category:Water containers in Uganda,4,Category:Containers in Uganda,12,1,Other,,1
Category:Agricultural machines in Uganda,4,Category:Agricultural equipment in Uganda,11,1,Other,,1
Category:Alur people,3,Category:Ethnic groups in Uganda,11,3,People,,0
Category:Animals of Kampala,4,Category:Animals of Uganda,11,1,Environment,,1
Category:Asparagales in Uganda,3,Category:Plants of Uganda by order,11,0,Other,,0
Category:Banks in Uganda,2,Category:Economy of Uganda,11,4,Economy,,0
Category:Bugweri District,4,"Category:Eastern Region, Uganda",11,0,Geography,,1
Category:Crosses in Uganda,4,Category:Signs in Uganda,11,0,Other,,1
Category:Dancing people in Uganda,3,Category:Dance of Uganda,11,2,People,,0
Category:Deforestation in Uganda,4,Category:Forests in Uganda,11,2,Other,,1
Category:Flags of ethnic groups in Uganda,4,Category:Flags of Uganda,11,0,Other,,1
Category:Gardening in Uganda,3,Category:Agriculture in Uganda,11,0,Other,,0
Category:Global H2O,3,Category:Foreign charities operating in Uganda,11,0,Other,,0
Category:Grave of Herman Basudde,4,Category:Graves in Uganda,11,0,Culture,,1
Category:Gulu District,4,"Category:Northern Region, Uganda",11,3,Geography,,1
Category:Higher education institutions in Uganda,2,Category:Uganda by topic,11,4,Education,,0
Category:Imani Milele Choir,4,Category:Entertainers from Uganda,11,0,Other,,1
Category:Imvepi Refugee Settlement,3,Category:Refugee camps in Uganda,11,0,Geography,,0
Category:Irene Muloni,4,Category:Government ministers of Uganda,11,0,Other,,1
Category:Kaabong District,4,"Category:Northern Region, Uganda",11,4,Geography,,1
Category:Katogo,4,Category:Cuisine of Uganda,11,0,Other,,1
Category:Kitchens in Uganda,4,Category:Cooking in Uganda,11,1,Other,,1
Category:LGBTQ rights in Uganda,3,Category:Human rights in Uganda,11,1,Other,,0
Category:Lango people,3,Category:Ethnic groups in Uganda,11,0,People,,0
Category:Lemons of Uganda,4,Category:Fruit of Uganda,11,0,Other,,1
Category:Leni Shida,4,Category:Women of Uganda by name,11,0,Other,,1
"Category:Lira District, Uganda",4,"Category:Northern Region, Uganda",11,3,Geography,,1
Category:Logos of companies of Uganda,3,Category:Companies of Uganda,11,0,Economy,,0
Category:Madi Community Museum,4,Category:Community Museums in Uganda,11,0,Buildings,,1
Category:Maps of subdivisions of Uganda,3,Category:Maps of Uganda,11,2,Geography,,0
Category:Mt. Elgon Culture and History Museum,4,Category:Community Museums in Uganda,11,0,Culture,,1
Category:Mwiri Hill,3,"Category:National Cultural Sites in Eastern Region, Uganda",11,0,Other,,0
Category:Nyero rock paintings,3,"Category:National Cultural Sites in Eastern Region, Uganda",11,0,Other,,0
Category:Parliament of Uganda,2,Category:Politics of Uganda,11,3,Government,,0
Category:Photographers from Uganda,3,Category:People of Uganda by occupation,11,1,Other,,0
Category:Ranches in Uganda,3,Category:Agriculture in Uganda,11,0,Other,,0
