qitem,label,sitelink_count,occupation_qid,en_title,views,occupation,in_lgwiki
Q18687836,Jessica Horn,11,Q36180,Jessica Horn,978,writer,True
Q43885547,Catherine Nyongesa,5,Q39631,Catherine Nyongesa,972,physician,False
Q29440061,Anita Fabiola,6,Q33999,Anita Fabiola,969,actor,True
Q105890715,Esther Afoyochan,8,Q82955,Esther Afoyochan,950,politician,True
Q18686131,Fille Mutoni,5,Q177220,Fille Mutoni,950,singer,True
Q100801324,Julie Mutesasira,6,Q177220,Julie Mutesasira,947,singer,True
Q62564573,Eleanor Nabwiso,6,Q33999,Eleanor Nabwiso,929,actor,True
Q19666615,Lilian Mbabazi,7,Q177220,Lillian Mbabazi,916,singer,True
Q105883547,Victoria Rusoke Businge,5,Q37226,Victoria Rusoke Businge,916,teacher,True
Q24572738,Mary Goretti Kitutu,8,Q82955,Mary Goretti Kitutu,902,politician,True
Q79394836,Theresa Musoke,6,Q1028181,Theresa Musoke,886,painter,True
Q49549938,Juliane Okot Bitek,7,Q36180,Otoniya J. Okot Bitek,880,writer,True
Q90916518,Sekindi Aisha,6,Q37226,Aisha Sekindi,880,teacher,True
Q4877118,Atim Beatrice Anywar,9,Q82955,Beatrice Atim Anywar,875,politician,True
Q104119284,Mercy Kainobwisho,5,Q40348,Mercy Kainobwisho,866,lawyer,True
Q6343791,Kabakumba Masiko,8,Q82955,Kabakumba Masiko,864,politician,True
Q96678402,Joyce Bagala,6,Q82955,Joyce Bagala,845,politician,True
Q56063014,Angela Kalule,6,Q177220,Angela Kalule,844,singer,True
Q60615160,Fadilah Mohamed Rafi,10,Q13141064,Fadilah Mohamed Rafi,842,badminton player,True
Q19276819,Cecilia Ogwal,9,Q43845,Cecilia Ogwal,825,businessperson,True
Q50379529,Rhoda Kalema,8,Q82955,Rhoda Kalema,813,politician,True
Q24572655,Joyce Moriku,8,Q39631,Joyce Moriku,805,physician,True
Q43197930,Sophia Namutebi,6,Q43845,Sophia Namutebi,803,businessperson,True
Q18688038,Joanita Kawalya,5,Q639669,Joanita Kawalya,786,musician,True
Q19668732,Sylvia Owori,7,Q3501317,Sylvia Owori,781,fashion designer,True
Q49253,Irene Muloni,12,Q81096,Irene Muloni,780,engineer,True
Q18352352,Doris Akol,7,Q40348,Doris Akol,764,lawyer,True
Q24668795,Peace Mutuuzo,6,Q82955,Peace Mutuuzo,764,politician,True
Q106691310,Juliet Nalukenge,5,Q937857,Juliet Nalukenge,762,association football player,True
Q111577318,Rumina Velshi,5,Q7888586,Rumina Velshi,755,chemical engineer,True
Q7367874,Rose Namayanja,9,Q36180,Rose Namayanja,745,writer,True
Q58099869,Bettinah Tianah,8,Q33999,Bettinah Tianah,740,actor,True
Q88644581,Emily Nakalema,7,Q937857,Emily Nakalema,735,association football player,True
Q99361654,Catherine Nakalembe,10,Q901,Catherine Nakalembe,730,scientist,True
Q55583703,Joyce Mpanga,11,Q82955,Joyce Mpanga,729,politician,True
Q28858649,Victoria Kawesa,10,Q82955,Victoria Kawesa,729,politician,False
Q24572753,Rosemary Seninde,7,Q82955,Rosemary Seninde,725,politician,True
Q5064251,Cerinah Nebanda,7,Q82955,Cerinah Nebanda,717,politician,True
Q105906548,Naluyima Betty Ethel,5,Q82955,Betty Ethel Naluyima,716,politician,True
Q105904398,Chemutai Phyllis,6,Q82955,Phyllis Chemutai,715,politician,True
Q5586186,Goretti Kyomuhendo,12,Q6625963,Goretti Kyomuhendo,698,novelist,True
Q111180875,Mugasa Grace Mary,5,Q82955,Grace Mary Mugasa,693,politician,True
Q56043365,Aol Betty Ocan,6,Q37226,Betty Aol Ochan,687,teacher,True
Q109422654,Gloria Nansubuga,5,Q10873124,Gloria Nansubuga,686,chess player,True
Q43375707,Akello Lucy,9,Q82955,Lucy Akello,682,politician,True
Q105839655,Rwakoojo Robina Gureme,7,Q82955,Robina Gureme Rwakoojo,674,politician,True
Q7070387,Nusura Tiperu,7,Q82955,Nusura Tiperu,674,politician,True
Q24572671,Ntabazi Harriet,6,Q82955,Harriet Ntabazi,674,politician,True
Q57825198,Adoa Hellen Abeku,7,Q37226,Hellen Adoa,660,teacher,True
Q58042684,Veronica Babirye Kadogo,7,Q82955,Veronica Kadogo,660,politician,True
Q22958193,Wendy Kimani,10,Q33999,Wendy Kimani,658,actor,False
Q4286483,Dora Mwima,9,Q18581305,Dora Mwima,649,beauty pageant contestant,True
Q125053476,Gloria Muzito,6,Q10843402,Gloria Muzito,648,swimmer,True
Q58883876,Akite Agnes,7,Q33999,Akite Agnes,637,actor,True
Q57828565,Ababiku Jesca,12,Q37226,Jesca Ababiku,635,teacher,True
Q55984275,Malaika,7,Q33999,Malaika (actress),631,actor,True
Q24572620,Florence Nakiwala Kiyingi,7,Q43845,Florence Nakiwala Kiyingi,627,businessperson,True
Q4937331,Doreen Baingana,12,Q36180,Doreen Baingana,619,writer,True
Q4936361,Monica Arac de Nyeko,14,Q36180,Monica Arac de Nyeko,607,writer,True
Q2416628,Thelma Awori,10,Q82955,Thelma Awori,595,politician,True
Q42571276,Gita Ramjee,19,Q1622272,Gita Ramjee,584,university teacher,False
Q16846976,Natasha Sinayobye,10,Q33999,Natasha Sinayobye,579,actor,True
Q47805453,Catherine Kyobutungi,8,Q1650915,Catherine Kyobutungi,577,researcher,True
Q105951153,Taban Aate Sharifah,7,Q82955,Taban Sharifah Aate,577,politician,True
