qitem,label,sitelink_count,local_title,local_bytes,ref_bytes,views,completeness,is_stub
Q1893242,Murchison Falls National Park,30,Ekkuumiro ly'ebisoro erya Murchison Falls,9447,8394.0,7111,112.5,False
Q6378429,Katumba Wamala Edward,6,Katumba Wamala,9464,18438.0,6972,51.3,False
Q2928157,Vipers SC,14,Kiraabu ya Vipers SC,21613,14789.0,6893,146.1,False
Q539807,Juliana Kanyomozi,16,Juliana Kanyomozi,15833,23608.0,6686,67.1,False
Q708027,Daudi Cwa II of Buganda,9,Ssekabaka Daudi Cwa II,7409,10853.0,6629,68.3,False
Q486016,Benedicto Kiwanuka,18,Benedicto Kiwanuka,5690,8705.0,6510,65.4,False
Q125211,Lake Edward,75,Ennyanja Edward,18292,16922.0,6509,108.1,False
Q28457520,Rolex,6,Rolex,16683,4265.0,6461,391.2,False
Q3637341,Bebe Cool,10,Bebe Cool,11911,21071.0,6434,56.5,False
Q115110885,Rebecca Cheptegei,32,Rebecca Cheptegei,24245,21083.0,6419,115.0,False
Q50413578,Lydia Mugambe,8,Lydia Mugambe,4591,14155.0,6372,32.4,False
Q1362129,Bundibugyo District,19,Bundibugyo (disitulikit),847,6393.0,6355,13.2,True
Q976848,Wakiso District,25,Wakiso (disitulikit),9332,9132.0,6349,102.2,False
Q2738248,Uganda National Liberation Front,11,Uganda National Liberation Front,5228,9883.0,6083,52.9,False
Q96270510,John Blaq,6,John Blaq,9168,14822.0,6081,61.9,False
Q500111,Arua,30,Arua,275,19652.0,6030,1.4,True
Q4157645,Democratic Party,10,Ekibiina kya Democratic Party(Uganda),13901,15208.0,6029,91.4,False
Q1015727,Mbale City,33,Mbale,8465,15341.0,5997,55.2,False
Q5473101,Forum for Democratic Change,11,Forum for Democratic Change (FDC),13754,17743.0,5929,77.5,False
Q455244,Alice Auma Lakwena,16,Alice Auma,9659,8955.0,5848,107.9,False
Q1027090,Betty Okino,17,Betty Okino,5809,7864.0,5777,73.9,False
Q47359700,Spice Diana,7,Spice Diana,3980,8872.0,5769,44.9,False
Q58240,Sam Kutesa,15,Sam Kutesa,14366,20054.0,5678,71.6,False
Q5724541,Henry Kyemba,11,Henry Kyemba,5195,19038.0,5632,27.3,False
Q110193,"Oh Uganda, Land of Beauty",47,"Oh Uganda, Ensi ya Bulungi",9841,12446.0,5505,79.1,False
Q4591759,Andrew Mwenda,9,Andrew Mwenda,16468,17288.0,5294,95.3,False
Q721339,Ayub Kalule,10,Ayub Kalule,14090,15840.0,5237,89.0,False
Q3463928,Saint Kizito,12,Saint Kizito,2608,3728.0,5188,70.0,False
Q2311898,KCCA FC,19,Kampala Capital City Authority FC,58761,43765.0,5176,134.3,False
Q6359113,Kampala International University,6,Kampala International University,11899,10683.0,5152,111.4,False
Q18719341,Cindy Sanyu,9,Cindy Sanyu,10042,12988.0,5097,77.3,False
Q1793381,"Shriti Vadera, Baroness Vadera",11,"Shriti Vadera, Baroness Vadera",16948,16947.0,5044,100.0,False
Q24577229,Madina Nalwanga,14,Madina Nalwanga,4157,6965.0,5036,59.7,False
Q956659,Masaka,25,Masaka,512,21454.0,5024,2.4,True
Q913737,Geoffrey Oryema,22,Geoffrey Oryema,1169,9857.0,5018,11.9,True
Q83614709,Vanessa Nakate,41,Vanessa Nakate,10317,29420.0,5016,35.1,False
Q131705982,Allan Oyirwoth,6,Allan Oyirwoth,3145,8717.0,5011,36.1,False
Q3052823,Emmanuel Okwi,17,Emmanuel Okwi,13525,21458.0,5000,63.0,False
Q976859,Nakasongola District,20,Nakasongola (disitulikit),470,4840.0,4888,9.7,True
Q1010056,Lake Bunyonyi,20,Ennyanja Bunyonyi,9970,11335.0,4881,88.0,False
Q1207825,Tororo,25,Tororo,229,19591.0,4853,1.2,True
Q18637131,Anne Kansiime,9,Anne Kansiime,11056,14864.0,4848,74.4,False
Q22935831,Alan Kasujja,5,Alan Kasujja,3580,4649.0,4829,77.0,False
Q1740843,Ruhakana Rugunda,25,Ruhakana Ruganda,7847,11323.0,4823,69.3,False
Q29479762,Toby Sibbick,9,Toby Sibbick,13078,14357.0,4812,91.1,False
Q57873,Amama Mbabazi,22,Amama Mbabazi,13356,14752.0,4740,90.5,False
Q7877609,Uganda Martyrs University,6,Uganda Martyrs University,10060,13651.0,4735,73.7,False
Q375485,Federation of Uganda Football Associations,23,Federation of Uganda Football Associations,16743,21807.0,4732,76.8,False
Q487300,Bank of Uganda,20,Bank of Uganda,8944,8057.0,4721,111.0,False
Q15056380,Melvyn Lorenzen,17,"Melvyn Lorenzen, Musambi wa mupiira",13139,14570.0,4603,90.2,False
Q5341172,education in Uganda,8,Ebyenjigiriza mu Uganda,5441,62476.0,4488,8.7,False
Q6119076,Jacob Oulanyah,6,Jacob Oulanyah,6085,13829.0,4463,44.0,False
Q6960652,Nakivubo Stadium,12,Ekisaawe kya Nakivubo,3164,23893.0,4447,13.2,False
Q25040426,MTN Uganda,5,MTN Uganda,25156,25666.0,4379,98.0,False
Q4022677,Kampala Mosque,18,Omuzikiti gw'eggwanga mu Uganda,7354,6219.0,4366,118.3,False
Q1232016,Kasese,27,Kasese,209,15044.0,4363,1.4,True
Q26251805,Bevis Mugabi,15,Bevis Mugabi,4949,17905.0,4295,27.6,False
Q54233287,Agnes Nandutu,7,Agnes Nandutu,15564,15694.0,4262,99.2,False
Q5968234,Philly Lutaaya,8,Philly Bongole Lutaaya,5214,7167.0,4244,72.8,False
Q6318370,Lumumba Justine Kasule,9,Justine Lumumba Kasule,5912,6804.0,4214,86.9,False
Q24565855,Monica Azuba Ntege,10,Monica Azuba Ntege,3597,8857.0,4142,40.6,False
