qitem,label,description,tier,positions_held,sitelink_count,statements,en_title,lg_title,ugandan_citizen
Q6343791,Kabakumba Masiko,Ugandan politician,Parliament,Member of Parliament of Uganda,8,20,Kabakumba Masiko,Kabakumba Masiko,yes
Q105904215,Kinshaba Patience Nkunda,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,4,20,Patience Nkunda Kinshaba,Patience Nkunda Kinshaba,yes
Q16186361,Mbabazi Jacqueline,Ugandan politician,Parliament,Member of Parliament of Uganda; Older Persons Representative,4,20,Jacqueline Mbabazi,Jacqueline Mbabazi,yes
Q67080169,Mukisa Robina Hope,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,4,20,Robina Hope Mukisa,Robina Hope Mukisa,yes
Q57825400,Nabayiga Idah,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,5,20,Idah Nabayiga,Idah Nabayiga,yes
Q105956412,Nabukenya Brenda,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,4,20,Brenda Nabukenya,Brenda Nabukenya,yes
Q105839727,Nyakato Asinansi,Ugandan politician,Parliament,City Woman Representative; Member of Parliament of Uganda; member of parliament,3,20,Asinansi Nyakato,Asinansi Nyakato,yes
Q62100397,Oliver Katwesigye Koyekyenga,Ugandan Legislator and businesswoman,Parliament,Member of Parliament of Uganda,4,20,Oliver Katwesigye Koyekyenga,Oliver Katwesigye Koyekyenga,yes
Q89370497,Rose Kabagyeni,Ugandan member of parliament,Parliament,Member of Parliament of Uganda,5,20,Rose Kabagyenyi,Rose Kabagyenyi,yes
Q7367874,Rose Namayanja,"Ugandan lawyer, columnist, author, security sector manager and politician",Parliament,Member of Parliament of Uganda,9,20,Rose Namayanja,Rose Namayanja,yes
Q90914975,Safia Juuko Nalule,Ugandan Legislator & Ugandan Disability Rights activist,Parliament,Member of Parliament of Uganda,4,20,Safia Juuko Nalule,Safia Juuko Nalule,yes
Q111507048,Sarah Kiyingi Kyama,Ugandan politician,Parliament,member of parliament,5,20,Sarah Kiyingi Musoke,Sarah Kiyingi Musoke,yes
Q62099508,Susan Amero,Ugandan politician,Parliament,Member of Parliament of Uganda,5,20,Susan Amero,Susan Amero,yes
Q105951153,Taban Aate Sharifah,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,7,20,Taban Sharifah Aate,Taban Sharifah Aate,yes
Q62060614,Zaitun Driwaru,Ugandan politician,Parliament,Member of Parliament of Uganda,4,20,Zaitun Driwaru,Zaitun Driwaru,yes
Q105964981,Acom Alobo Joan,Ugandan politician,Parliament,City Woman Representative; Member of Parliament of Uganda,2,19,Joan Acom Alobo,Joan Acom Alobo,yes
Q105956858,Asiimwe Florence Akiiki,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,3,19,Florence Akiiki Asiimwe,Florence Akiiki Asiimwe,yes
Q105904450,Atuto Jacinta,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,6,19,Jacinta Atuto,Jacinta Atuto,yes
Q105956330,Auma Linda Agnes,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,6,19,Linda Agnes Auma,Linda Agnes Auma,yes
Q105906038,Avako Melsa Naima Gule,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,7,19,Naima Melsa Gule Avako,Naima Melsa Gule Avako,yes
Q116547881,Beatrice Kiraso,Ugandan politician,Parliament,Member of Parliament of Uganda; deputy secretary general,5,19,Beatrice Kiraso,Beatrice Kiraso,yes
Q105761146,Bebona Josephine Babungi,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,3,19,Babungi Josephine Bebona,Babungi Josephine Bebona,yes
Q16194600,Dorothy Samali Hyuha,Ugandan politician educator,Parliament,Member of Parliament of Uganda,8,19,Dorothy Hyuha,Dorothy Hyuha,yes
Q105956578,Driwaru Jennifer,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,5,19,Jennifer Driwaru,Jennifer Driwaru,yes
Q62068243,Elizabeth Beikiriize Karungi,Ugandan politician,Parliament,Member of Parliament of Uganda,3,19,Elizabeth Beikiriize Karungi,Elizabeth Beikiriize Karungi,yes
Q116604516,Eunice Otuko Apio,Ugandan politician,Parliament,Member of Parliament of Uganda,2,19,Eunice Otuko Apio,Omuyimbi Eunice Otuko Apio,yes
Q57825394,Hanifa Kawooya,Ugandan politician,Parliament,member of parliament,3,19,Hanifa Kawooya,Hanifa Kawooya,yes
Q137972245,Harriet Nakwedde,Ugandan politician,Parliament,member of parliament,3,19,Harriet Nakwedde,Harriet Nakwedde,yes
Q6187188,Jessica Eriyo,Ugandan politician,Parliament,Member of Parliament of Uganda,7,19,Jessica Eriyo,Jessica Eriyo,yes
Q62129047,Jovah Kamateeka,Ugandan politician,Parliament,member of parliament,4,19,Jovah Kamateeka,Jovah Kamateeka,yes
Q57826830,Margaret Komuhangi,Uganda politician,Parliament,Member of Parliament of Uganda,4,19,Margaret Komuhangi,Margaret Komuhangi,yes
Q62129269,Mirembe Lydia Daphine,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,5,19,Lydia Daphine Mirembe,Lydia Daphine Mirembe,yes
Q57825270,Molly Lanyero,Ugandan Member of Parliament,Parliament,Member of Parliament of Uganda,7,19,Molly Lanyero,Molly Lanyero,yes
Q105963047,Nambooze Teddy,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,4,19,Teddy Nambooze,Teddy Nambooze,yes
Q105903749,Namukuta Brenda,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,4,19,Brenda Namukuta,Brenda Namukuta,yes
Q137988549,Nassolo Eugenia,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,3,19,Eugenia Nassolo,Eugenia Nassolo,yes
Q105951002,Natumanya Flora,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,4,19,Flora Natumanya,Flora Natumanya,yes
Q62129125,Noeline Kisembo Basemera,Ugandan politician,Parliament,Member of Parliament of Uganda,4,19,Noeline Kisembo Basemera,Noeline Kisembo Basemera,yes
Q19667316,Rachael Magoola,Uganda musician and politician,Parliament,member of parliament,6,19,Rachael Magoola,Rachael Magoola,yes
Q7368409,Rosemary Najjemba,Uganda politician,Parliament,Member of Parliament of Uganda,6,19,Mariam Najjemba,Mariam Najjemba,yes
Q90920801,Rosemary Nauwat,Ugandan Legislator,Parliament,Member of Parliament of Uganda,4,19,Rosemary Nauwat,Rosemary Nauwat,yes
Q111292264,Ruth Tuma,Ugandan politician and teacher,Parliament,member of parliament,3,19,Ruth Tuma,Ruth Tuma,yes
Q56949745,Sylvia Nayebale,"Ugandan journalist, businesswoman and politician",Parliament,Member of Parliament of Uganda,5,19,Sylvia Nayebale,Sylvia Nayebale,yes
Q58042684,Veronica Babirye Kadogo,Ugandan politician,Parliament,Member of Parliament of Uganda,7,19,Veronica Kadogo,Veronica Babirye Kadogo,yes
Q105965987,Abeja Susan Jolly,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,8,18,Susan Jolly Abeja,Susan Jolly Abeja,yes
Q105956270,Acora Nancy Odonga,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,6,18,Nancy Acora,Nancy Acora,yes
Q105760576,Agnes Taaka,Ugandan politician and social worker,Parliament,member of parliament,6,18,Agnes Taaka,Agnes Taaka,yes
Q105955350,Auma Kenny,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,3,18,Kenny Auma,Kenny Auma,yes
Q5110904,Christine Amongin Aporu,Ugandan politician,Parliament,Member of Parliament of Uganda,7,18,Christine Amongin Aporu,Christine Amongin Aporu,yes
Q62067246,Egunyu Janepher Nantume,Ugandan politician,Parliament,member of parliament,2,18,Egunyu Janepher Nantume,Egunyu Janepher Nantume,yes
Q24572633,Esther Mbulakubuza Mbayo,Ugandan politician,Parliament,Member of Parliament of Uganda,7,18,Esther Mbulakubuza Mbayo,Esther Mbulakubuza Mbayo,yes
Q16196528,Evelyn Kaabule,Ugandan consultant & politician,Parliament,Member of Parliament of Uganda,5,18,Evelyn Kaabule,Evelyn Kaabule,yes
Q106368301,Florence Namayanja,"Ugandan politician who was district woman representative of Bukoto County East, Masaka District",Parliament,deputy mayor; mayor; member of parliament,5,18,Florence Namayanja,Florence Namayanja,yes
Q51844074,Hellen Kahunde,Ugandan politician,Parliament,Member of Parliament of Uganda,5,18,Hellen Kahunde,Hellen Kahunde,yes
Q30323658,Jacklet Atuhaire,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,4,18,Jacklet Atuhaire,Jacklet Atuhaire,yes
Q62129191,Janepher Mbabazi Kyomuhendo,Ugandan accountant by profession who also served as the District Woman Representative for Kagadi District,Parliament,member of parliament,3,18,Janepher Mbabazi Kyomuhendo,Janepher Mbabazi Kyomuhendo,yes
Q30899710,Jastine Ayebazibwe,Ugandan politician,Parliament,Member of Parliament of Uganda,4,18,Justine Ayebazibwe,Justine Ayebazibwe,yes
Q105903344,Jennifer Ayoo,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,6,18,Jennifer Ayoo,Jennifer Ayoo,yes
Q24565855,Monica Azuba Ntege,Ugandan engineer and politician,Parliament,Member of Parliament of Uganda,10,18,Monica Azuba Ntege,Monica Azuba Ntege,yes
Q111449795,Mpiima Dorothy Christine,Ugandan politician and teacher,Parliament,member of parliament,6,18,Mpiima Dorothy Christine,Mpiima Dorothy Christine,yes
