qitem,label,en_title,sitelink_count,views,priority,type_labels,num_strategies,strategies
Q1113362,p’Bitek Okot,Okot p'Bitek,16,4120,98.5,human,2,birth_death_wd|citizenship_wd
Q27107066,Elio Capradossi,Elio Capradossi,16,3866,98.5,human,2,birth_death_wd|citizenship_wd
Q3488894,Soga,Soga people,16,3997,98.5,"ethnic group, people",1,country_wd
Q4711890,Albertine Rift montane forests,Albertine Rift montane forests,15,4708,98.5,WWF ecoregion,1,country_wd
Q804430,Kiga people,Kiga people,14,6240,98.5,ethnic group,1,citizenship_wd
Q16202368,Uche Ikpeazu,Uche Ikpeazu,12,10732,98.5,human,1,citizenship_wd
Q1967703,National Resistance Army,National Resistance Army,12,11685,98.5,armed organization,1,country_wd
Q3809108,John Brisker,John Brisker,12,9594,98.5,human,1,birth_death_wd
Q65087995,Ish Wainright,Ish Wainright,12,11063,98.5,human,1,citizenship_wd
Q11990282,Mustafa Adrisi,Mustafa Adrisi,11,17326,98.5,human,2,birth_death_wd|citizenship_wd
Q78424,Wilfried Böse,Wilfried Böse,10,31151,98.5,human,1,birth_death_wd
Q320005,Apolo Nsibambi,Apolo Nsibambi,28,2065,98.4,human,2,birth_death_wd|citizenship_wd
Q4795033,Gladys Kalema-Zikusoka,Gladys Kalema-Zikusoka,23,2316,98.4,human,3,birth_death_wd|citizenship_wd|language_wd
Q487912,Ripon Falls,Ripon Falls,16,3492,98.4,waterfall,1,country_wd
Q6697142,administrative territorial entity of Uganda,Administrative divisions of Uganda,14,4549,98.4,,2,country_wd|keyword_title
Q2887548,Nile basin,Nile Basin,12,7304,98.4,drainage basin,1,country_wd
Q2915867,Rift Valley lakes,Rift Valley lakes,12,8553,98.4,group of lakes,1,country_wd
Q889311,Muteesa I of Buganda,Muteesa I of Buganda,12,7580,98.4,human,2,birth_death_wd|keyword_title
Q984093,Vincent Otti,Vincent Otti,10,24664,98.4,human,2,birth_death_wd|citizenship_wd
Q6357128,list of World Heritage Sites in Uganda,List of World Heritage Sites in Uganda,24,1852,98.3,Wikimedia list article,2,country_wd|keyword_title
Q519453,Frank Mugisha,Frank Mugisha,20,2122,98.3,human,2,birth_death_wd|citizenship_wd
Q3067079,Uganda women's national football team,Uganda women's national football team,16,2781,98.3,"national association football team, women's national association football team",2,country_wd|keyword_title
Q492755,Moses Isegawa,Moses Isegawa,15,3519,98.3,human,2,birth_death_wd|citizenship_wd
Q36388,Nubi,Nubi language,14,4486,98.3,"creole, natural language, language",1,country_wd
Q23062600,Isaac Nabwana,Nabwana I.G.G.,11,10827,98.3,human,2,birth_death_wd|citizenship_wd
Q7877575,Commonwealth realm of Uganda,Uganda (1962–1963),11,9492,98.3,historical country,2,country_wd|keyword_title
Q2065351,Paul Sherwen,Paul Sherwen,10,16619,98.3,human,1,birth_death_wd
Q20179441,Sarah Kyolaba,Sarah Kyolaba,9,64178,98.3,human,2,birth_death_wd|citizenship_wd
Q43122,.ug,.ug,93,1544,98.2,country code top-level domain,1,country_wd
Q895930,nodding disease,Nodding disease,15,2919,98.2,rare disease,1,country_wd
Q7877723,cinema of Uganda,Cinema of Uganda,11,8701,98.2,cinema by country or region,2,country_wd|keyword_title
Q82871,Martin Ssempa,Martin Ssempa,9,28224,98.2,human,2,birth_death_wd|citizenship_wd
Q696437,Ibrahim Sekagya,Ibrahim Sekagya,17,2105,98.1,human,2,birth_death_wd|citizenship_wd
Q88263719,2020 COVID-19 pandemic in Uganda,COVID-19 pandemic in Uganda,16,2290,98.1,disease outbreak,2,country_wd|keyword_title
Q514030,Mbarara University of Science and Technology,Mbarara University,13,3050,98.1,university,1,country_wd
Q1709493,July 2010 Kampala attacks,2010 Kampala bombings,12,4522,98.1,suicide bombing,2,country_wd|keyword_title
Q2738248,Uganda National Liberation Front,Uganda National Liberation Front,11,6083,98.1,political organization,2,country_wd|keyword_title
Q5473101,Forum for Democratic Change,Forum for Democratic Change,11,5929,98.1,political party,1,country_wd
