qitem,label,latitude,longitude,sitelink_count
Q118869037,Lake Mahoma,0.344,29.967,1
Q118948368,Kasagala Central Forest Reserve,1.316666666,32.233333333,1
Q118948369,Kashoya-Kitomi Central Forest Reserve,-0.266,30.241,1
Q118948427,Kikumiro Central Forest Reserve,0.727,30.588,1
Q118948440,South Imaramagambo Central Forest Reserve,-0.527777777,29.883333333,1
Q118952138,Kibiro salt gardens,1.676666666,31.256388888,1
Q118972399,Bukaleba Central Forest Reserve,0.415,33.3862,1
Q118976148,Gangu Central Forest Reserve,0.1445,32.2019,1
Q118976280,Kitubulu Central Forest Reserve,0.0775,32.5,1
Q118976300,Kyewaga Central Forest Reserve,0.0833,32.5022,2
Q118976474,Old airport Entebbe,0.050352121,32.433600636,1
Q118976615,Lutoboka Central Forest Reserve,-0.30605,32.29593,1
Q118976862,Arua Central Forest Reserve,3.009,30.924,2
Q118977205,Mt Kei Central Forest Reserve,3.683333333,31.133333333,1
Q119140770,Rwoho Central Forest Reserve,-0.873,30.579,2
Q119141115,Musoma Central Forest Reserve,1.536,31.557,1
Q119142245,Bugungu Wildlife Reserve,1.97601,31.519,1
Q119149376,Aruu Falls,2.8968335,32.6471917,3
Q119174972,Bugamba Central Forest Reserve,-0.7325,30.516111111,1
Q119295750,East Madi Wildlife Reserve,3.05,31.6,1
Q119346623,Nakindiba Central Forest Reserve,0.442,32.394,1
Q119442564,Lake Nkugute,-0.324,30.099,5
Q119442612,Lake Nyabihoko,-0.9075,30.129444444,6
Q119478212,Buhimba Heros Monument,1.344937868,31.31197561,1
Q119478303,Mpanga Market,0.657602754,30.278849545,1
Q119478338,Tooro Palace,0.646870424,30.268342678,1
Q119616154,Mpondwe school massacre,0.028055555,29.735833333,10
Q119752833,Nantawetwa Buganda Monument,0.306472222,32.561666666,1
Q119998933,Lake Mburo- Nakivali Wetland System,-0.7,31.0,4
Q120355540,Arua nightclub shooting,3.035278,30.910833,2
Q120441764,Kiteezi landfill,0.4106,32.5757,1
Q120682650,"Afrexim Bank House, Kampala",0.321666666,32.5875,1
Q1207391,Kayunga District,1.0,32.866666666,25
Q1207825,Tororo,0.692777777,34.180833333,25
Q120931244,"Cathedral of Our Lady Queen of Peace, Lugazi",0.37028,32.92804,2
Q120973040,Art Gallery Uganda,0.3132,32.609,3
Q121435248,Ivory Tower,0.333945073,32.568225682,2
Q121435657,Mapeera Church,0.32457655,32.546039783,2
Q121435659,"Kigungu, Monument and Church",0.027973714,32.436071086,1
Q121435660,"St Johns Church, Entebbe",0.064435398,32.47396086,1
Q121435661,Uganda Martyrs Church Namugongo,0.385620696,32.65142359,1
Q121435662,"Villa Maria Catholic Church, Masaka",-0.228380483,31.745502961,1
Q121435683,Cathedral of the Sacred Heart of Jesus,3.01352,30.897,2
Q121435684,"Emmanuel Cathedral, Mvara",3.01834,30.93639,1
Q121464007,High Court building Nakasero,0.3161169,32.580525896,1
Q121464008,Parliamentary building (Uganda),0.315808699,32.588477275,1
Q121464012,LEGICO Assembly Building,0.05896475,32.477867933,1
Q121464046,Kololo hero monument,0.321433333,32.580791666,1
Q121464047,Equator Monument,0.000107625,32.039561429,1
